"category","source","source_revision","archived_path","size_bytes","mtime_utc","sha256"
"docs","git:e8354c556dd369cf900cd59d437c1fd59e6a7d48:docs/nlp_stage_ab_b5_comprehensive_report.md","e8354c556dd369cf900cd59d437c1fd59e6a7d48","legacy/2026-07-stage-ab/docs/nlp_stage_ab_b5_comprehensive_report.md","34966","2026-07-17T07:39:36.0000000Z","a5b210f592050c264d0c5bb22fcad10b189e6f6b23b86468792d7b33359893a7"
"docs","git:e8354c556dd369cf900cd59d437c1fd59e6a7d48:docs/stage_b_u_double_near_zero_diagnostic_summary.md","e8354c556dd369cf900cd59d437c1fd59e6a7d48","legacy/2026-07-stage-ab/docs/stage_b_u_double_near_zero_diagnostic_summary.md","9715","2026-07-17T07:39:36.0000000Z","65edfd214d298aa496c96c2bc18e4127cf6d05fa32a1822f2ff758400e75898c"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/estimator_m_stability.png","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/estimator_m_stability.png","68738","2026-07-16T13:05:11.0000000Z","a0efd8b53fd34942779d70154cecdfc161722c783c07f7b865b403549a1a4671"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/estimator_m_stability.svg","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/estimator_m_stability.svg","70156","2026-07-16T13:05:11.0000000Z","fc17ac25b3dc649769f530c8ec2921afca53882510aa424a91cb3ae85c94d781"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/estimator_quality.png","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/estimator_quality.png","115547","2026-07-16T13:05:10.0000000Z","fa37e40f409d0ded652fd49f78a4c9fa58f830377ef7163284040c7bae691f66"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/estimator_quality.svg","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/estimator_quality.svg","57518","2026-07-16T13:05:11.0000000Z","390499bbcb95ec6b01f7abb25b407885c0980b472b46e1371ec1ebd3cf4982ea"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/functional_reuse_intervention.png","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/functional_reuse_intervention.png","167066","2026-07-16T13:40:47.0000000Z","36e934ffa10ffe80aed8e5f9524eb1bfe2815c22d3420ca44182cc9dcc3062fc"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/functional_reuse_intervention.svg","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/functional_reuse_intervention.svg","102961","2026-07-16T13:40:47.0000000Z","3e15044bef4060a85a15ba3e22ccf2bc3e7a50677ff22bd6233de0afee04d6fc"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/importance_layer_heatmap.png","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/importance_layer_heatmap.png","66753","2026-07-16T13:40:35.0000000Z","d120965683a184cef4b7e5f41b767f21c33de983e39d9e182eea177fea409b89"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/importance_layer_heatmap.svg","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/importance_layer_heatmap.svg","48656","2026-07-16T13:40:35.0000000Z","b7567c9d7c0166a80d851775cc2d20e1e3068270cf4a4066e8791f04db10c117"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/importance_positive_ccdf.png","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/importance_positive_ccdf.png","80016","2026-07-16T13:40:42.0000000Z","d7afe3f224c026de18555ac68b49720333cc69966201a4528091fb61d0135663"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/importance_positive_ccdf.svg","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/importance_positive_ccdf.svg","95830","2026-07-16T13:40:42.0000000Z","4e8c4b108948510f7ca86207f7a2aaaebe203a5f061a806dd527901890c9d825"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/importance_positive_log_histogram.png","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/importance_positive_log_histogram.png","61349","2026-07-16T13:40:43.0000000Z","6fee53b025f1ae1762b4137e46ca623a0929f00d66f120747379f25645ccb838"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/importance_positive_log_histogram.svg","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/importance_positive_log_histogram.svg","61995","2026-07-16T13:40:43.0000000Z","97d1aff3f4047167ec5e7e12b725e48087e3a28f12ea91c485a2b2ad0462a035"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/importance_positive_lorenz.png","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/importance_positive_lorenz.png","90755","2026-07-16T13:40:45.0000000Z","294b7026a8541655b29281f13c4d954a1f6d432337eebca2cfca1a0f8674682e"
"reports","server:/home/sophgo13/cjl/storage/parameter-importance/reports/stage-ab-minimum-loop/figures/importance_positive_lorenz.svg","","legacy/2026-07-stage-ab/reports/stage-ab-minimum-loop/figures/importance_positive_lorenz.svg","49511","2026-07-16T13:40:45.0000000Z","5c17e0ef9e9e899090f289c711bea8973704ddfef89618bb243724f392567298"
