estimator,scope,microbatch_count,repetition_mse_n,repetition_mse_mean,repetition_mse_std,repetition_mse_ci_low,repetition_mse_ci_high,repetition_variance_n,repetition_variance_mean,repetition_variance_std,repetition_variance_ci_low,repetition_variance_ci_high,mean_estimate_mse_n,mean_estimate_mse_mean,mean_estimate_mse_std,mean_estimate_mse_ci_low,mean_estimate_mse_ci_high,absolute_bias_n,absolute_bias_mean,absolute_bias_std,absolute_bias_ci_low,absolute_bias_ci_high,spearman_n,spearman_mean,spearman_std,spearman_ci_low,spearman_ci_high,topk_overlap_n,topk_overlap_mean,topk_overlap_std,topk_overlap_ci_low,topk_overlap_ci_high,formula_seconds_n,formula_seconds_mean,formula_seconds_std,formula_seconds_ci_low,formula_seconds_ci_high
double,layer,16,0,,,,,0,,,,,10,4.402728951560485e-12,9.992431753892254e-12,2.8348283606356855e-13,1.0830426849076655e-11,10,7.601841005027222e-07,1.3385492032553847e-06,2.014876336635929e-07,1.6499943567529155e-06,10,0.9566666666666667,0.06858355272004873,0.9133333333333333,0.9949999999999999,10,1.0,0.0,1.0,1.0,10,0.06769955269992352,4.3013919897312576e-05,0.0676753724948503,0.06772545952582731
double,layer,32,0,,,,,0,,,,,10,3.5360455060675127e-12,9.328710680771696e-12,2.450542142394503e-13,9.597456707343147e-12,10,6.844557055941519e-07,1.2666446912330328e-06,1.7601155288581802e-07,1.514941561855922e-06,10,0.9916666666666666,0.01619708859679249,0.9800000000000001,1.0,10,1.0,0.0,1.0,1.0,10,0.06769000282511115,0.00011868203940315202,0.06761105845449492,0.06774045241530983
double,layer,4,0,,,,,0,,,,,10,8.222311786631805e-12,1.704745397158958e-11,1.6091589038771387e-12,1.9380664350534988e-11,10,1.0454393103104997e-06,8.781976354560058e-07,5.575561952438473e-07,1.560220787946515e-06,10,0.9349999999999999,0.0876475827700462,0.8799999999999999,0.9817083333333328,10,1.0,0.0,1.0,1.0,10,0.06756430650129915,0.00016411706314451018,0.0674576223292388,0.06765308348229154
double,layer,8,0,,,,,0,,,,,10,7.03273921150248e-12,1.5874835539710704e-11,7.715784580845668e-13,1.7438947292862016e-11,10,1.0918351579403993e-06,1.6486919433154517e-06,3.288873429879778e-07,2.1805372823081786e-06,10,0.8733333333333334,0.181080433666341,0.7582916666666669,0.9683333333333334,10,1.0,0.0,1.0,1.0,10,0.06771676568314433,7.21658461325841e-05,0.06767857741331681,0.06776314035523683
double,module,16,0,,,,,0,,,,,10,7.483710430049335e-12,1.931141446632022e-11,3.155690841688463e-13,2.0024414404871e-11,10,7.445874552220706e-07,1.3441094767230612e-06,1.7643012694236034e-07,1.6351056797702036e-06,10,1.0,0.0,1.0,1.0,10,1.0,0.0,1.0,1.0,10,0.06769955269992352,4.3013919897312576e-05,0.06767512001562864,0.06772545329295099
double,module,32,0,,,,,0,,,,,10,7.822396386323833e-12,2.290668421513197e-11,2.4949340416794604e-13,2.2406815051660027e-11,10,6.506560331574538e-07,1.2711795886563604e-06,1.5922727730349969e-07,1.467627890828394e-06,10,1.0,0.0,1.0,1.0,10,1.0,0.0,1.0,1.0,10,0.06769000282511115,0.00011868203940315202,0.0676106453128159,0.06774060288211331
double,module,4,0,,,,,0,,,,,10,8.800733489624963e-12,1.695969900018769e-11,2.070483103631909e-12,2.000435396601039e-11,10,1.0092194778959002e-06,8.62754420528792e-07,5.395385802512054e-07,1.544958201666873e-06,10,0.9899999999999999,0.01165343164633503,0.9833333333333332,0.9966666666666667,10,1.0,0.0,1.0,1.0,10,0.06756430650129915,0.00016411706314451018,0.06745532369241118,0.06765068781329318
double,module,8,0,,,,,0,,,,,10,1.2557453777832576e-11,3.232042562765857e-11,8.623655257643394e-13,3.3527399374284717e-11,10,1.086573266014628e-06,1.6511243668877103e-06,3.156041609086678e-07,2.2118506425136897e-06,10,0.9316666666666666,0.21608897344483927,0.7949999999999999,1.0,10,1.0,0.0,1.0,1.0,10,0.06771676568314433,7.21658461325841e-05,0.0676785159856081,0.06776360023301095
double,parameter,16,10,3.727514053798669e-18,3.1896021158445546e-18,1.872365118575164e-18,5.628466738631958e-18,10,3.716217024743212e-18,3.18506394933573e-18,1.8830626388192645e-18,5.6113665062893995e-18,10,2.98781141791676e-20,2.839730407558136e-20,1.4123820401750703e-20,4.734367651299141e-20,10,3.1217160435938088e-12,4.0949242017359206e-12,1.2036986662326324e-12,5.872910972804073e-12,10,0.4993852305725192,0.033357365464343494,0.4794003202583957,0.5186668499536891,10,0.7575455013321277,0.09179942418668605,0.7038258509552366,0.8123099194467903,10,0.06769955269992352,4.3013919897312576e-05,0.06767540330300108,0.06772549047134817
double,parameter,32,10,1.833873964889219e-18,1.5293158827329373e-18,9.405362555488425e-19,2.749359980819043e-18,10,1.8160603404299668e-18,1.5094700938188467e-18,9.62542953130815e-19,2.7113049694446652e-18,10,2.68939261614063e-20,3.9165262424761817e-20,7.166461737406817e-21,5.1157943802168234e-20,10,2.267130986573946e-12,2.978567078749924e-12,8.295017732039841e-13,4.226215785936711e-12,10,0.5702046195450315,0.03327550416066581,0.549574335848424,0.5884228228273137,10,0.8134851987386726,0.08481647089072596,0.7633090543456934,0.8633974872971598,10,0.06769000282511115,0.00011868203940315202,0.06760999170364812,0.06774028566200285
double,parameter,4,10,1.934931344168547e-17,1.6123056482112487e-17,9.85408006376641e-18,2.874240511766992e-17,10,1.935303235529907e-17,1.614672827254885e-17,9.845255218185016e-18,2.877356873812999e-17,10,9.304624816289118e-20,8.87953345304192e-20,4.4295090378348464e-20,1.488450391516393e-19,10,8.157349630094969e-12,1.0949447804111226e-11,2.929585853481242e-12,1.537224294997558e-11,10,0.4109472568140847,0.01392457522366294,0.40250449729326765,0.4187637413269623,10,0.643869084684654,0.0826323602753673,0.5975476658619877,0.6946431866713298,10,0.06756430650129915,0.00016411706314451018,0.06745574223343283,0.06765471681719645
double,parameter,8,10,8.345364418561362e-18,6.952909707811924e-18,4.295789720674993e-18,1.2407315931562944e-17,10,8.341443510731028e-18,6.947684611462599e-18,4.272596564145677e-18,1.2389193276421239e-17,10,4.562812538398399e-20,4.5256852420185533e-20,2.0203122443920354e-20,7.406298827949453e-20,10,4.724435688630047e-12,6.201679328473348e-12,1.694626207397897e-12,8.826905593856582e-12,10,0.4392914909132376,0.030441123114601034,0.41993911958076896,0.4561187177884325,10,0.7091242930624153,0.08959959803007597,0.655282259669655,0.761266907501713,10,0.06771676568314433,7.21658461325841e-05,0.0676785195362754,0.06776302961399779
raw,layer,16,0,,,,,0,,,,,10,2.4399495111950726e-09,5.11892434214458e-09,4.059487921959161e-10,5.8056372481465035e-09,10,2.5021933149527365e-05,3.124582411188675e-05,9.277451385758021e-06,4.5969496613594594e-05,10,0.64,0.18728073599298478,0.5316666666666666,0.7533333333333333,10,1.0,0.0,1.0,1.0,10,0.034238111693412066,3.902769497544636e-05,0.03421538478462025,0.034261888284236194
raw,layer,32,0,,,,,0,,,,,10,7.38566895564592e-10,1.6567071738577214e-09,9.73462735211289e-11,1.835464373028638e-09,10,1.3325212754058215e-05,1.766025341916892e-05,4.695747297883728e-06,2.483421550852537e-05,10,0.7216666666666667,0.146996682586234,0.64,0.8116666666666668,10,1.0,0.0,1.0,1.0,10,0.034269426576793195,9.03494630071895e-05,0.03421214005211368,0.03431667531374842
raw,layer,4,0,,,,,0,,,,,10,4.333673496049447e-08,9.428513211239929e-08,6.722810761829179e-09,1.0584716285034032e-07,10,0.00010363846344201393,0.00013324954084099034,3.851307904526552e-05,0.0001918030860326896,10,0.3433333333333333,0.3097390379092346,0.17833333333333334,0.5433333333333333,10,1.0,0.0,1.0,1.0,10,0.034003627859055995,0.00017211989381713119,0.033890836786013095,0.03407905576052144
raw,layer,8,0,,,,,0,,,,,10,1.0178465335785803e-08,2.136302196314745e-08,1.719774533747645e-09,2.4251035667622764e-08,10,5.089814310655431e-05,6.40149091172705e-05,1.9640104882663716e-05,9.289120583012435e-05,10,0.5266666666666666,0.2532748470498959,0.385,0.6766666666666666,10,1.0,0.0,1.0,1.0,10,0.03418246414512396,4.029611044777562e-05,0.03415793804684654,0.03420530431671068
raw,module,16,0,,,,,0,,,,,10,4.475538210560943e-09,9.985741335936587e-09,4.990740801822267e-10,1.1176217787925589e-08,10,2.502193314952741e-05,3.1245824111887134e-05,9.523892159108014e-06,4.546308313407061e-05,10,0.9716666666666665,0.034291776360024354,0.9499999999999998,0.9899999999999999,10,1.0,0.0,1.0,1.0,10,0.034238111693412066,3.902769497544636e-05,0.0342152248416096,0.034261077446863054
raw,module,32,0,,,,,0,,,,,10,1.3803516635732462e-09,3.2714728641645074e-09,1.2503701478029215e-10,3.5806367745433582e-09,10,1.3325212754059215e-05,1.7660253419171485e-05,4.726270956717387e-06,2.5028025706857783e-05,10,0.99,0.00860662965823873,0.9849999999999998,0.9949999999999999,10,1.0,0.0,1.0,1.0,10,0.034269426576793195,9.03494630071895e-05,0.034210088986437764,0.03431680448818952
raw,module,4,0,,,,,0,,,,,10,7.9810695563911e-08,1.8426580444459483e-07,8.437017032091169e-09,2.0077535646518037e-07,10,0.0001036384634420152,0.00013324954084099422,3.922831261232299e-05,0.00019239046532861263,10,0.8950000000000001,0.07496912944919644,0.8516666666666666,0.9400000000000001,10,0.9,0.31622776601683794,0.7,1.0,10,0.034003627859055995,0.00017211989381713119,0.033889311482198536,0.034078474561683836
raw,module,8,0,,,,,0,,,,,10,1.8717451181452288e-08,4.188645240915719e-08,2.1654394604435533e-09,4.609844179308368e-08,10,5.089814310655528e-05,6.401490911727273e-05,1.8937324426570524e-05,9.314434066662688e-05,10,0.9366666666666665,0.06421414789688841,0.8983333333333332,0.9716666666666665,10,0.9,0.31622776601683794,0.7,1.0,10,0.03418246414512396,4.029611044777562e-05,0.034157783067785205,0.03420563833788037
raw,parameter,16,10,4.295322480531171e-18,3.7220694868708e-18,2.178694221196378e-18,6.472339555208026e-18,10,4.216884246264545e-18,3.657053357880156e-18,2.1275436872214318e-18,6.4199787431405575e-18,10,9.952265549795391e-20,9.169438842262593e-20,4.685911733187165e-20,1.535335969197258e-19,10,1.6121328333346073e-11,2.001607930984288e-11,6.134108759173901e-12,2.9051861625033514e-11,10,0.6816869354354164,0.07145222218793423,0.6360912327130317,0.7191636558030723,10,0.6735601789060344,0.10019393922358326,0.6160705963724044,0.7339793975143094,10,0.034238111693412066,3.902769497544636e-05,0.03421606729971245,0.034261410061735664
