intervention,model_state,allocation,requested_ratio,seed_count,actual_ratio_mean,accuracy_drop_mean,nll_change_mean,ece_change_mean
finetune_high,finetuned,global,0.001,3,0.000999998964134182,0.33562691131498473,0.17150999218316618,-0.09722702278701051
finetune_high,finetuned,global,0.005,3,0.0049999948206709095,0.33562691131498473,0.17150999218316618,-0.09722702278701051
finetune_high,finetuned,global,0.01,3,0.009999997734043522,0.33562691131498473,0.17150999218316618,-0.09722702278701051
finetune_high,finetuned,global,0.05,3,0.04999999676291931,0.33562691131498473,0.17150999218316618,-0.09722702278701051
finetune_high,finetuned,global,0.1,3,0.09999999352583862,0.33562691131498473,0.17150999218316618,-0.09722702278701051
finetune_high,finetuned,global,0.2,3,0.19999999514437897,0.33562691131498473,0.17150999218316618,-0.09722702278701051
finetune_high,finetuned,layer_balanced,0.001,3,0.0009999099444154402,0.33562691131498473,0.17150999218316618,-0.09722702278701051
finetune_high,finetuned,layer_balanced,0.005,3,0.004999954357162391,0.33562691131498473,0.17150999218316618,-0.09722702278701051
finetune_high,finetuned,layer_balanced,0.01,3,0.009999908714324782,0.33562691131498473,0.17150999218316618,-0.09722702278701051
finetune_high,finetuned,layer_balanced,0.05,3,0.04999995629941081,0.33562691131498473,0.17150999218316618,-0.09722702278701051
finetune_high,finetuned,layer_balanced,0.1,3,0.0999999206915233,0.33562691131498473,0.17150999218316618,-0.09722702278701051
finetune_high,finetuned,layer_balanced,0.2,3,0.19999993849546704,0.33562691131498473,0.17150999218316618,-0.09722702278701051
pretrain_high,finetuned,global,0.001,3,0.000999998964134182,0.26567278287461776,1.2899027648139803,0.2751222524792991
pretrain_high,finetuned,global,0.005,3,0.0049999948206709095,0.31613149847094807,1.5331667954221777,0.3606485783545695
pretrain_high,finetuned,global,0.01,3,0.009999997734043522,0.3172782874617738,1.2434460636490348,0.35712464455252063
pretrain_high,finetuned,global,0.05,3,0.04999999676291931,0.3100152905198777,0.1463841377595149,0.138414827687228
pretrain_high,finetuned,global,0.1,3,0.09999999352583862,0.15175840978593277,0.1699729881702213,0.06685068633151468
pretrain_high,finetuned,global,0.2,3,0.19999999514437897,0.33562691131498473,0.17150999218316618,-0.09722702278701051
pretrain_high,finetuned,layer_balanced,0.001,3,0.0009999099444154402,-0.001529051987767538,0.004092674144181981,-0.0007720924347223342
pretrain_high,finetuned,layer_balanced,0.005,3,0.004999954357162391,0.3172782874617738,1.6124194019249092,0.3724518444778436
