route,seed,experiment_id,step,scope,group,parameter_count,positive_sum,positive_mean,positive_share,positive_median,positive_q25,positive_q75,positive_q90,positive_gini,positive_effective_parameters,positive_effective_fraction,signed_sum,signed_positive_mass,signed_negative_mass,signed_absolute_mass,signed_net_share_of_absolute_mass,signed_mean,signed_median,signed_q25,signed_q75,signed_negative_fraction,signed_absolute_gini
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,embedding-input,38633472,0.0005391107920648838,1.395450018224828e-11,0.027981773918965933,6.879741527442314e-14,2.6530568615222485e-14,2.387530887511431e-13,9.889106135536872e-13,0.9927002839441423,7322.769000214252,0.00018954467773992076,0.00045648817686557824,0.0005391107920648838,-8.262263343107137e-05,0.00045666033501733577,0.025597226813922024,1.1815872434804157e-11,1.8905173989323433e-14,4.037497210172857e-15,8.69414302107508e-14,0.11916456796841868,0.996105921613258
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,embedding-output,38633472,0.01300147618753719,3.3653398243722933e-10,0.6748230097547364,4.592151311988424e-13,1.9795157944453926e-13,1.2796440339649107e-12,4.3457138061697696e-12,0.998133622220257,3733.5640134585774,9.664065433877073e-05,0.0124173757279213,0.01300147618753719,-0.0005841024367168734,0.01241758794416396,0.6962948857159312,3.2141495664488295e-10,2.646983110130008e-13,9.61702251715173e-14,8.243046273771065e-13,0.016107638474740248,0.9986607017715519
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layer-0000,7087872,0.0011951842095441708,1.686238421834044e-10,0.062034325476752784,6.830987858696957e-11,1.8039648334161607e-11,2.3081229982846452e-10,4.230751693423686e-10,0.6314644784310588,1860789.0996919079,0.2625314198241599,0.00101964597750317,0.0011951842095441708,-0.00017553825136209494,0.0010196459779909012,0.057175871531361826,1.4385784301736403e-10,5.852702697484169e-11,1.51666205636114e-11,1.9658559502477857e-10,4.260799292086539e-05,0.6325159371929587
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layer-0001,7087872,0.0008577357662187978,1.2101456773186618e-10,0.044519547087190976,4.1428430130885374e-11,1.2980593813369246e-11,1.2146673250557072e-10,2.9321984285068944e-10,0.6970018514121596,1350300.1012179304,0.19050853362164702,0.0007391461727219066,0.0008577357662187978,-0.00011858961203681889,0.0007391461727219416,0.04144705863296962,1.042832281285422e-10,3.6089117805282456e-11,1.1265353016751134e-11,1.0606057525286428e-10,4.2466906851591e-05,0.6939284352655082
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layer-0002,7087872,0.00044145319417728776,6.228289593509699e-11,0.022912996098559926,2.136634445759622e-11,7.2091165502496946e-12,6.082963473208469e-11,1.5354824911550938e-10,0.6947276710967956,1249468.3168293834,0.17628257350434423,0.00039086501131381664,0.00044145319417728776,-5.0588192484698696e-05,0.0003908650113138302,0.021917457790307997,5.5145608063155856e-11,1.8583906982727605e-11,6.242572756463838e-12,5.3771312055750364e-11,4.3877767544334887e-05,0.6972507207788541
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layer-0003,7087872,0.00032940955479290017,4.6475099267156654e-11,0.01709753138804315,1.6667381017021476e-11,5.971590409659111e-12,4.331222706877025e-11,1.1368291655267099e-10,0.6906110423712126,1217606.1384178014,0.17178726399373484,0.00029449502209394395,0.00032940955479290017,-3.491453976211197e-05,0.0002944950220971139,0.016513584049142736,4.154914508810881e-11,1.4422020435528315e-11,5.1408725366963726e-12,3.827633696107391e-11,3.964518546610323e-05,0.6966179260346785
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layer-0004,7087872,0.0002949256316882497,4.1609898103161247e-11,0.015307692723420007,1.524578033262891e-11,5.660474042615271e-12,3.953709755422086e-11,1.0487022847338601e-10,0.6810592582451873,1346128.3309444042,0.18991995495183947,0.0002631289553294595,0.0002949256316882497,-3.1796682200228754e-05,0.00026312895532947303,0.014754755746635451,3.712383001970965e-11,1.314853434464247e-11,4.871070777637265e-12,3.488255084088676e-11,4.1761476505219053e-05,0.6873477833503752
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layer-0005,7087872,0.00028463632920682386,4.015822086048166e-11,0.014773641207373818,1.531903770501941e-11,6.453522612137608e-12,3.853228933842212e-11,9.999231789792341e-11,0.6646713111210791,1357219.1420614969,0.19148471389741475,0.00025311603255042845,0.00028463632920682386,-3.152030205052833e-05,0.000253116032550455,0.014193288728573738,3.5711146102868176e-11,1.3158333797558264e-11,5.521454712713314e-12,3.385657813131937e-11,4.303125112868855e-05,0.6718766410382035
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layer-0006,7087872,0.00027276200286634634,3.8482918831822346e-11,0.01415732129690303,1.5258700553077986e-11,6.67578980376865e-12,3.6579026266303494e-11,9.453756805166692e-11,0.6576334131184787,1353538.8877101538,0.1909654812770538,0.00024192975441916927,0.00027276200286634634,-3.083225327453304e-05,0.000241929754419185,0.013566026702872306,3.413291809151876e-11,1.30658296682018e-11,5.706455056750381e-12,3.20916643953284e-11,4.260799292086539e-05,0.6649949406598881
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layer-0007,7087872,0.0003201765324246319,4.517244843369518e-11,0.01661830457919354,1.5389013847955102e-11,7.1723894184971826e-12,3.8574986954698076e-11,1.0582665854741436e-10,0.6913179858977334,546056.2056425266,0.07704092365699135,0.0002777506051870207,0.0003201765324246319,-4.2425933078221426e-05,0.0002777506051870774,0.01557465362519093,3.918674112441939e-11,1.3163461206472382e-11,6.120933295807041e-12,3.376698400059386e-11,4.528862823707877e-05,0.6920384169645104
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layer-0008,7087872,0.00038174352847776896,5.3858693903864085e-11,0.019813851375484366,1.6633459366810488e-11,8.114853624133223e-12,4.492121258303783e-11,1.2230506746258035e-10,0.7065332708541934,424792.9598432972,0.05993236895972405,0.00033324895601351463,0.00038174352847776896,-4.849458078804063e-05,0.000333248956016486,0.018686681375085328,4.701678529374044e-11,1.4286725448509063e-11,6.914980415530236e-12,3.9437560855892784e-11,4.2466906851591e-05,0.7085584134059029
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layer-0009,7087872,0.0003573096498491894,5.041141401103031e-11,0.018545645882639995,1.6917311301822835e-11,8.76710813321746e-12,4.3286181063140194e-11,1.1342610045650404e-10,0.6868239532180052,342942.62434134114,0.048384426854963115,0.0003075023792973576,0.0003573096498491894,-4.9807278258360004e-05,0.0003075023792974814,0.017242961696712186,4.3384301987586344e-11,1.4428648380249154e-11,7.4017725542469e-12,3.76358640433172e-11,4.063278795102395e-05,0.687371937681611
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layer-0010,7087872,0.0004380984677461118,6.180959076943148e-11,0.022738873825478352,1.7249195127799766e-11,8.993830853676332e-12,4.63780047352258e-11,1.2674945537582972e-10,0.7281987200461273,277830.48596156185,0.03919801118890999,0.0003735626506632116,0.0004380984677461118,-6.453582828184013e-05,0.0003735626506632966,0.020947241095911034,5.2704486009794136e-11,1.4786489740958864e-11,7.601465897705273e-12,4.0407164593470046e-11,3.964518546610323e-05,0.725692668280399
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layer-0011,7087872,0.0005122031685128542,7.226473171536593e-11,0.026585172237063564,2.4782786933741363e-11,1.2294523472206054e-11,6.160557654288912e-11,1.4772841977483977e-10,0.6866530061745446,343830.0547553765,0.0485096309238339,0.0004265004499542342,0.0005122031685128542,-8.57027318862649e-05,0.00042650044995432484,0.02391568786880787,6.017327202780104e-11,2.1342290781878326e-11,1.0495424191195313e-11,5.3048497018759466e-11,4.444211182143244e-05,0.6777047883182672
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,512,layer,layernorm-final,1536,4.027301415021611e-05,2.621941025404695e-08,0.0020903131481942875,2.1509518610685063e-08,1.5992031254796757e-08,2.9330170292496405e-08,4.318784441181833e-08,0.3079408720097849,959.7590995138979,0.6248431637460273,3.836102214505033e-05,4.027301415021611e-05,-1.911992994950429e-06,3.836102214505033e-05,0.002151065097464482,2.4974623792350475e-08,2.0277600043527855e-08,1.5230668726218255e-08,2.77705747286916e-08,0.0,0.3111466619046255
