rule,scope,phase,mse_n,mse_mean,mse_std,mse_ci_low,mse_ci_high,mean_squared_error_n,mean_squared_error_mean,mean_squared_error_std,mean_squared_error_ci_low,mean_squared_error_ci_high,mean_estimate_mse_n,mean_estimate_mse_mean,mean_estimate_mse_std,mean_estimate_mse_ci_low,mean_estimate_mse_ci_high,absolute_bias_n,absolute_bias_mean,absolute_bias_std,absolute_bias_ci_low,absolute_bias_ci_high,spearman_n,spearman_mean,spearman_std,spearman_ci_low,spearman_ci_high,nonzero_spearman_n,nonzero_spearman_mean,nonzero_spearman_std,nonzero_spearman_ci_low,nonzero_spearman_ci_high,topk_overlap_n,topk_overlap_mean,topk_overlap_std,topk_overlap_ci_low,topk_overlap_ci_high,relative_error_p50_n,relative_error_p50_mean,relative_error_p50_std,relative_error_p50_ci_low,relative_error_p50_ci_high,relative_error_p90_n,relative_error_p90_mean,relative_error_p90_std,relative_error_p90_ci_low,relative_error_p90_ci_high,relative_error_p95_n,relative_error_p95_mean,relative_error_p95_std,relative_error_p95_ci_low,relative_error_p95_ci_high,relative_error_p99_n,relative_error_p99_mean,relative_error_p99_std,relative_error_p99_ci_low,relative_error_p99_ci_high
gauss_legendre,layer,early,0,,,,,0,,,,,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0
gauss_legendre,layer,late,0,,,,,0,,,,,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
gauss_legendre,layer,middle,0,,,,,0,,,,,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
gauss_legendre,module,early,0,,,,,0,,,,,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0
gauss_legendre,module,late,0,,,,,0,,,,,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
gauss_legendre,module,middle,0,,,,,0,,,,,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
gauss_legendre,parameter,early,0,,,,,0,,,,,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,1.0,8.599750569898517e-17,0.9999999999999999,1.0,6,1.0,1.7199501139797033e-16,0.9999999999999999,1.0,6,1.0,0.0,1.0,1.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0
gauss_legendre,parameter,late,0,,,,,0,,,,,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
gauss_legendre,parameter,middle,0,,,,,0,,,,,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,1.0,4.5324665183683945e-17,1.0,1.0,7,1.0,1.5700924586837752e-16,0.9999999999999999,1.0,7,1.0,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
left,layer,early,0,,,,,0,,,,,6,5.3742816172274474e-05,9.149980934261493e-05,4.0635591356673815e-06,0.00012866217780637776,6,0.004224740608448016,0.004458296913928512,0.0013701296122055199,0.007659176660085205,6,0.9083333333333333,0.10632758605157717,0.8222222222222223,0.9750000000000001,6,0.9083333333333333,0.10632758605157717,0.8222222222222223,0.9750000000000001,6,1.0,0.0,1.0,1.0,6,0.8134668228104519,0.665268568635995,0.3935179884385905,1.3427199773824057,6,6.45130158017718,8.788228682619204,0.7754005398529794,13.04986268386133,6,10.186278973588744,15.30681523114774,0.8532752117773632,22.442158425534966,6,13.174260888318,20.659755221242605,0.9178484240898094,29.77556692120626
