route,seed,experiment_id,step,scope,group,parameter_count,positive_sum,positive_mean,positive_share,positive_median,positive_q25,positive_q75,positive_q90,positive_gini,positive_effective_parameters,positive_effective_fraction,signed_sum,signed_positive_mass,signed_negative_mass,signed_absolute_mass,signed_net_share_of_absolute_mass,signed_mean,signed_median,signed_q25,signed_q75,signed_negative_fraction,signed_absolute_gini
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,embedding-input,38633472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,embedding-output,38633472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layer-0000,7087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layer-0001,7087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layer-0002,7087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layer-0003,7087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layer-0004,7087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layer-0005,7087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layer-0006,7087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layer-0007,7087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layer-0008,7087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layer-0009,7087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layer-0010,7087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layer-0011,7087872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,layer,layernorm-final,1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,module,embedding-input,38633472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,module,embedding-output,38633472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,module,layer-0000/attention-output,590592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,module,layer-0000/attention-qkv,1771776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,module,layer-0000/layernorm-input,1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pretrain,1234,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,0,module,layer-0000/layernorm-post-attention,1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
