double_score_sum,endpoint_data_cursor,endpoint_target_tokens,experiment_id,importance_finalized_step,integration_rule,phase,raw_score_sum,step,u_stat_negative_sum,u_stat_positive_sum,u_stat_sum,u_stat_unclipped_sum,clip_factor,data_cursor,double_half_microbatch_count,double_sampling_active,elapsed_seconds,gradient_norm,learning_rate,loss,max_memory_gib,target_tokens,tokens_per_second,tokens_seen
,1024.0,2097152.0,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,1.0,trapezoid,trapezoid_endpoint,0.0005692272644416685,1.0,-5.933789496685352e-06,0.0005739366085964134,0.0005680028199222462,0.005383643153676232,,,,,,,,,,,,
,2048.0,2097152.0,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,2.0,trapezoid,trapezoid_endpoint,0.0005537385583468356,2.0,-2.296883073508977e-06,0.000554929742367951,0.0005526328499967578,0.002360636123864765,,,,,,,,,,,,
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,,trapezoid,,,3.0,,,,,0.5319329271088211,3072.0,,False,14.617447749000348,1.8799352645874023,0.00035999999999999997,9.75496505945921,54.13218688964844,2097152.0,143469.09501649623,6291456.0
,4096.0,2097152.0,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,4.0,trapezoid,trapezoid_endpoint,0.0003761312868708535,4.0,-0.00016623851873415023,0.0005416242208533912,0.000375385715832891,0.0008711164384324864,,,,,,,,,,,,
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,,trapezoid,,,5.0,,,,,0.31739390347664875,5120.0,,False,14.711081371000546,3.150658130645752,0.0006,9.331862017512321,54.13499450683594,2097152.0,142555.93773915523,10485760.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,5.0,trapezoid,,0.0007957480851835258,6.0,-2.1079832795049195e-05,0.0008162571971979324,0.0007951774108675425,0.0025053328135588027,0.5252982342394178,6144.0,,False,14.837085842998931,1.9036794900894165,0.0006,9.033829644322395,54.13499450683594,2097152.0,141345.27643712246,12582912.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,6.0,trapezoid,,0.0008899131162003211,7.0,-2.4229689671976197e-07,0.0008891885029287498,0.0008889461983619847,0.00169226963371516,0.6654412589068471,7168.0,,False,15.534640460000446,1.5027612447738647,0.0005999942406470234,8.697902895510197,54.13499450683594,2097152.0,134998.42531920044,14680064.0
,8192.0,2097152.0,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,8.0,trapezoid,trapezoid_endpoint,0.0005695714351151848,8.0,-7.495119765820222e-07,0.0005691363144356156,0.0005683868123421035,0.0007452397748908906,,,,,,,,,,,,
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,,trapezoid,,,9.0,,,,,0.9244388408936115,9216.0,,False,15.235253343000295,1.0817363262176514,0.0005999481671500081,8.230633020401001,54.13719177246094,2097152.0,137651.2718748795,18874368.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,9.0,trapezoid,,0.000631070344914191,10.0,-2.9392703268965896e-07,0.0006296768288040029,0.0006293829557614131,0.0006808269541966139,0.7538069938358701,10240.0,,False,17.765439180999238,1.3265985250473022,0.000599907854774993,8.068015698343515,54.13719177246094,2097152.0,118046.7298687993,20971520.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,10.0,trapezoid,,0.0005744547873741436,11.0,-1.766492826170584e-07,0.0005734443092868047,0.0005732676988125856,0.0007604966434878379,1.0,11264.0,,False,19.26288309699885,0.7366821765899658,0.0005998560272320039,7.94971626624465,54.13719177246094,2097152.0,108870.09952973943,23068672.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,11.0,trapezoid,,0.00019313815770064208,12.0,-5.173184103184655e-06,0.00019675727450867023,0.00019158410235160296,0.00019158410235160296,1.0,12288.0,,False,18.866399461001492,0.7349527478218079,0.0005997926865109949,7.909722622483969,54.13719177246094,2097152.0,111158.04074513516,25165824.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,12.0,trapezoid,,0.0002844221144777106,13.0,-1.5321687983072477e-06,0.00028434463256357114,0.00028281248448563034,0.00028281248448563034,1.0,13312.0,,False,19.89043809800023,0.7120069265365601,0.0005997178350439765,7.933359660208225,54.13719177246094,2097152.0,105435.18396464309,27262976.0
