task,route,estimator,score_type,balance,mode,fraction,metric,training_seed_n,mask_row_n,seeds,value_n,value_mean,value_std,value_ci_low,value_ci_high
sst2,direct,double,positive,global,high,0.0,accuracy,3,3,1234;1337;2027,3,0.8146024464831804,0.006520918237473971,0.8073394495412844,0.819954128440367
sst2,direct,double,positive,global,high,0.0,ece,3,3,1234;1337;2027,3,0.11290184830907207,0.007911690067749102,0.10554803269136448,0.1212729958458999
sst2,direct,double,positive,global,high,0.0,nll,3,3,1234;1337;2027,3,0.5437913840744838,0.01670989282012893,0.5261339113936512,0.5593566448863493
sst2,direct,double,positive,global,high,0.001,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,global,high,0.001,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,global,high,0.001,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,global,high,0.005,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,global,high,0.005,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,global,high,0.005,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,global,high,0.01,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,global,high,0.01,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,global,high,0.01,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,global,high,0.02,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,global,high,0.02,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,global,high,0.02,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,global,high,0.05,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,global,high,0.05,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,global,high,0.05,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,global,high,0.1,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
sst2,direct,double,positive,global,high,0.1,ece,3,3,1234;1337;2027,3,0.009174317121505737,0.0,0.009174317121505737,0.009174317121505737
sst2,direct,double,positive,global,high,0.1,nll,3,3,1234;1337;2027,3,0.6931471824645996,0.0,0.6931471824645996,0.6931471824645996
sst2,direct,double,positive,global,high,0.2,accuracy,3,3,1234;1337;2027,3,0.4908256880733945,0.0,0.4908256880733945,0.4908256880733945
