task,route,estimator,score_type,balance,fraction,metric,comparison,mean_gap,gap_std,paired_seed_n,seeds,left_mask_n,high_mask_n,direction,ci_low,ci_high,paired_effect_size_dz
sst2,direct,double,positive,global,0.0,accuracy,low_minus_high,0.0,0.0,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.0,0.0,
sst2,direct,double,positive,global,0.0,accuracy,random_minus_high,7.401486830834377e-17,6.409875621278547e-17,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.0,1.1102230246251565e-16,1.1547005383792512
sst2,direct,double,positive,global,0.0,ece,low_minus_high,0.0,0.0,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.0,0.0,
sst2,direct,double,positive,global,0.0,ece,random_minus_high,4.625929269271485e-18,2.1198671035948337e-17,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-1.3877787807814457e-17,2.7755575615628914e-17,0.2182178902359924
sst2,direct,double,positive,global,0.0,nll,low_minus_high,0.0,0.0,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.0,0.0,
sst2,direct,double,positive,global,0.0,nll,random_minus_high,-7.401486830834377e-17,6.409875621278547e-17,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-1.1102230246251565e-16,0.0,-1.1547005383792512
sst2,direct,double,positive,global,0.001,accuracy,low_minus_high,0.3211009174311927,0.009997474641148325,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.3096330275229358,0.3279816513761468,32.118202741878676
sst2,direct,double,positive,global,0.001,accuracy,random_minus_high,0.32415902140672775,0.006317062286439592,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.31708715596330267,0.3292431192660548,51.314836977716354
sst2,direct,double,positive,global,0.001,ece,low_minus_high,-0.10924162440219858,0.009313986635246792,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,-0.11922132797649092,-0.10077981575061723,-11.728771865400471
sst2,direct,double,positive,global,0.001,ece,random_minus_high,-0.1037815833838404,0.007505539727090956,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-0.1118119762706961,-0.09694367208464094,-13.827331165704816
sst2,direct,double,positive,global,0.001,nll,low_minus_high,0.14403322092983703,0.01715532093045426,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.13096184878174322,0.1634591924487998,8.395833660805968
sst2,direct,double,positive,global,0.001,nll,random_minus_high,0.14956526292732916,0.01665748782654394,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.13397550221976884,0.16711675240017398,8.978860707254718
sst2,direct,double,positive,global,0.005,accuracy,low_minus_high,0.32683486238532117,0.008956708343929634,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.31651376146788995,0.33256880733944955,36.490510780875425
sst2,direct,double,positive,global,0.005,accuracy,random_minus_high,0.32419724770642205,0.006860875395015383,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.31634174311926605,0.3290137614678899,47.25304411474378
sst2,direct,double,positive,global,0.005,ece,low_minus_high,-0.1080698943291339,0.0032889726312179467,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,-0.11185371679184042,-0.10589627997934048,-32.858252848736626
sst2,direct,double,positive,global,0.005,ece,random_minus_high,-0.10467388151902322,0.007115243825168588,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-0.11241641460438316,-0.09842215687795552,-14.711214976043788
sst2,direct,double,positive,global,0.005,nll,low_minus_high,0.1449155368890602,0.017076049861327963,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.13191622714383888,0.16425477658663323,8.486478902667626
sst2,direct,double,positive,global,0.005,nll,random_minus_high,0.15178462143998808,0.016096286532542504,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.13681072186712828,0.16880714613431635,9.429791221293126
sst2,direct,double,positive,global,0.01,accuracy,low_minus_high,0.32186544342507645,0.0036864108413581552,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.3176605504587156,0.32454128440366975,87.31133269630199
sst2,direct,double,positive,global,0.01,accuracy,random_minus_high,0.3239678899082569,0.0070064490324828,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.3158830275229357,0.3282683486238534,46.23852801987142
sst2,direct,double,positive,global,0.01,ece,low_minus_high,-0.10542387309860135,0.010081357746891622,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,-0.11693889579748973,-0.0981875232847278,-10.457308999981338
sst2,direct,double,positive,global,0.01,ece,random_minus_high,-0.10422490925387103,0.006750607084764716,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-0.11183868872146079,-0.09897113746646664,-15.439338706157812
sst2,direct,double,positive,global,0.01,nll,low_minus_high,0.14450669347875345,0.024437464969177456,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.11652308210320428,0.16164139829097535,5.913325856876611
sst2,direct,double,positive,global,0.01,nll,random_minus_high,0.15491227745918687,0.015473590118963878,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.14079559999048163,0.17145594982515777,10.011398535710981
sst2,direct,double,positive,global,0.02,accuracy,low_minus_high,0.3237767584097859,0.0036864108413581786,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.3211009174311927,0.3279816513761468,87.82980854366664
sst2,direct,double,positive,global,0.02,accuracy,random_minus_high,0.3241016819571865,0.007074938376909024,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.31594036697247724,0.3284977064220183,45.80982401415397
sst2,direct,double,positive,global,0.02,ece,low_minus_high,-0.1072108169227729,0.00561139823505448,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,-0.11368092756074855,-0.10367403092646121,-19.105900602995074
sst2,direct,double,positive,global,0.02,ece,random_minus_high,-0.10293584970221137,0.006217851887870377,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-0.11001712916470334,-0.09836890934246494,-16.55488930236758
sst2,direct,double,positive,global,0.02,nll,low_minus_high,0.14228469799828092,0.025920676905336514,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.11235535062781166,0.157488360625068,5.489235428453935
sst2,direct,double,positive,global,0.02,nll,random_minus_high,0.16128628664744002,0.015008404150956148,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.14782894200414687,0.17747154934417209,10.746398153008485
sst2,direct,double,positive,global,0.05,accuracy,low_minus_high,0.32339449541284404,0.004134806508559619,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.319954128440367,0.3279816513761468,78.21272766775733
sst2,direct,double,positive,global,0.05,accuracy,random_minus_high,0.3232415902140673,0.006134070580494318,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,0.31616972477064215,0.3271215596330275,52.69609893990145
sst2,direct,double,positive,global,0.05,ece,low_minus_high,-0.10766784974603454,0.0053289982271942414,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,-0.1136775961261528,-0.10351823490807799,-20.204144410594502
sst2,direct,double,positive,global,0.05,ece,random_minus_high,-0.09725822246244405,0.0062555937758356165,3,1234;1337;2027,60,3,positive_means_high_pruning_is_more_harmful,-0.10406992224736016,-0.09177078350909913,-15.547400606180247
sst2,direct,double,positive,global,0.05,nll,low_minus_high,0.14214575547007247,0.025990807934363144,3,1234;1337;2027,3,3,positive_means_high_pruning_is_more_harmful,0.11213421739569496,0.1572042870753949,5.469077984379922
