task,route,estimator,score_type,balance,metric,comparison,min_fraction,max_fraction,point_count,gap_auc
sst2,direct,double,positive,global,accuracy,low_minus_high,0.0,0.3,9,0.0969485856269113
sst2,direct,double,positive,global,accuracy,random_minus_high,0.0,0.3,9,0.09634889143730889
sst2,direct,double,positive,global,ece,low_minus_high,0.0,0.3,9,-0.03224769086637588
sst2,direct,double,positive,global,ece,random_minus_high,0.0,0.3,9,-0.02228948187009706
sst2,direct,double,positive,global,nll,low_minus_high,0.0,0.3,9,0.042666722078001644
sst2,direct,double,positive,global,nll,random_minus_high,0.0,0.3,9,0.06612991112318882
sst2,direct,double,positive,layer_balanced,accuracy,low_minus_high,0.0,0.3,9,0.0976328363914373
sst2,direct,double,positive,layer_balanced,accuracy,random_minus_high,0.0,0.3,9,0.09593983180428134
sst2,direct,double,positive,layer_balanced,ece,low_minus_high,0.0,0.3,9,-0.028719013995946136
sst2,direct,double,positive,layer_balanced,ece,random_minus_high,0.0,0.3,9,-0.02253254468246513
sst2,direct,double,positive,layer_balanced,nll,low_minus_high,0.0,0.3,9,0.055387431681987793
sst2,direct,double,positive,layer_balanced,nll,random_minus_high,0.0,0.3,9,0.06503401056332371
sst2,direct,magnitude,positive,global,accuracy,low_minus_high,0.0,0.3,9,0.04115175840978594
sst2,direct,magnitude,positive,global,accuracy,random_minus_high,0.0,0.3,9,0.04035749235474007
sst2,direct,magnitude,positive,global,ece,low_minus_high,0.0,0.3,9,0.003178111326965744
sst2,direct,magnitude,positive,global,ece,random_minus_high,0.0,0.3,9,0.012028730103648798
sst2,direct,magnitude,positive,global,nll,low_minus_high,0.0,0.3,9,0.007217344173495099
sst2,direct,magnitude,positive,global,nll,random_minus_high,0.0,0.3,9,0.028120174700454643
sst2,direct,magnitude,positive,layer_balanced,accuracy,low_minus_high,0.0,0.3,9,0.04425993883792049
sst2,direct,magnitude,positive,layer_balanced,accuracy,random_minus_high,0.0,0.3,9,0.04307572629969419
sst2,direct,magnitude,positive,layer_balanced,ece,low_minus_high,0.0,0.3,9,0.005382509714385238
sst2,direct,magnitude,positive,layer_balanced,ece,random_minus_high,0.0,0.3,9,0.013839507031619245
sst2,direct,magnitude,positive,layer_balanced,nll,low_minus_high,0.0,0.3,9,0.01005989916164667
sst2,direct,magnitude,positive,layer_balanced,nll,random_minus_high,0.0,0.3,9,0.030215811788060615
sst2,direct,movement,positive,global,accuracy,low_minus_high,0.0,0.3,9,0.06912863149847097
sst2,direct,movement,positive,global,accuracy,random_minus_high,0.0,0.3,9,0.06846815749235476
sst2,direct,movement,positive,global,ece,low_minus_high,0.0,0.3,9,0.033774722944022624
sst2,direct,movement,positive,global,ece,random_minus_high,0.0,0.3,9,0.042596552870700924
sst2,direct,movement,positive,global,nll,low_minus_high,0.0,0.3,9,0.06593029329000719
sst2,direct,movement,positive,global,nll,random_minus_high,0.0,0.3,9,0.08735453874601637
sst2,direct,movement,positive,layer_balanced,accuracy,low_minus_high,0.0,0.3,9,0.047800267584097854
sst2,direct,movement,positive,layer_balanced,accuracy,random_minus_high,0.0,0.3,9,0.04808260703363914
sst2,direct,movement,positive,layer_balanced,ece,low_minus_high,0.0,0.3,9,-0.0301552962198946
sst2,direct,movement,positive,layer_balanced,ece,random_minus_high,0.0,0.3,9,-0.013179458135467816
sst2,direct,movement,positive,layer_balanced,nll,low_minus_high,0.0,0.3,9,-0.04969579600671518
sst2,direct,movement,positive,layer_balanced,nll,random_minus_high,0.0,0.3,9,0.028211443404691564
sst2,direct,raw,positive,global,accuracy,low_minus_high,0.0,0.3,9,0.09697113914373087
sst2,direct,raw,positive,global,accuracy,random_minus_high,0.0,0.3,9,0.09634889143730889
sst2,direct,raw,positive,global,ece,low_minus_high,0.0,0.3,9,-0.03105740653334233
sst2,direct,raw,positive,global,ece,random_minus_high,0.0,0.3,9,-0.02228948187009706
sst2,direct,raw,positive,global,nll,low_minus_high,0.0,0.3,9,0.04472813027273487
sst2,direct,raw,positive,global,nll,random_minus_high,0.0,0.3,9,0.06612991112318882
sst2,direct,raw,positive,layer_balanced,accuracy,low_minus_high,0.0,0.3,9,0.09520737767584099
