task,route,seed,mask_seed,mask_id,estimator,score_type,balance,mode,fraction,metric,value
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.0,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.0,nll,0.5458835959434509
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.0,ece,0.11188451638995184
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.001,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.001,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.001,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.005,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.005,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.005,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.01,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.01,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.01,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.02,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.02,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.02,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.05,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.05,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.05,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.1,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.1,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.1,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.2,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.2,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.2,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.3,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.3,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,global,high,0.3,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.0,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.0,nll,0.5458835959434509
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.0,ece,0.11188451638995184
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.001,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.001,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.001,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.005,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.005,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.005,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.01,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.01,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.01,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.02,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.02,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.02,ece,0.009174317121505737
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.05,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.05,nll,0.6931471824645996
sst2,direct,1234,1234,0,u_statistic,positive,layer_balanced,high,0.05,ece,0.009174317121505737
