task,route,estimator,score_type,balance,fraction,metric,seed,comparison,left_mean,high_mean,gap,left_mask_n,high_mask_n,direction
sst2,direct,double,positive,global,0.0,accuracy,1234,low_minus_high,0.819954128440367,0.819954128440367,0.0,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,accuracy,1234,random_minus_high,0.8199541284403671,0.819954128440367,1.1102230246251565e-16,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,accuracy,1337,low_minus_high,0.8073394495412844,0.8073394495412844,0.0,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,accuracy,1337,random_minus_high,0.8073394495412846,0.8073394495412844,1.1102230246251565e-16,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,accuracy,2027,low_minus_high,0.8165137614678899,0.8165137614678899,0.0,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,accuracy,2027,random_minus_high,0.8165137614678899,0.8165137614678899,0.0,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,ece,1234,low_minus_high,0.11188451638995184,0.11188451638995184,-0.0,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,ece,1234,random_minus_high,0.11188451638995185,0.11188451638995184,-1.3877787807814457e-17,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,ece,1337,low_minus_high,0.1212729958458999,0.1212729958458999,-0.0,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,ece,1337,random_minus_high,0.12127299584589987,0.1212729958458999,2.7755575615628914e-17,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,ece,2027,low_minus_high,0.10554803269136448,0.10554803269136448,-0.0,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,ece,2027,random_minus_high,0.10554803269136448,0.10554803269136448,-0.0,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,nll,1234,low_minus_high,0.5458835959434509,0.5458835959434509,-0.0,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,nll,1234,random_minus_high,0.5458835959434509,0.5458835959434509,-0.0,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.0,nll,1337,low_minus_high,0.5593566448863493,0.5593566448863493,-0.0,1,1,positive_means_high_pruning_is_more_harmful
