route,seed,position,expected_step,status,accuracy,nll,ece
direct,1234,25%,789,available,0.8073394495412844,0.45265845291384865,0.07275210750144367
direct,1234,50%,1578,available,0.8211009174311926,0.44987714044544674,0.0786553918298199
direct,1234,100%,3156,available,0.819954128440367,0.5458835959434509,0.11188451638995184
direct,1337,25%,789,available,0.8073394495412844,0.41124909965816986,0.0329386921439454
direct,1337,50%,1578,available,0.8314220183486238,0.4103415306281606,0.04919786501879697
direct,1337,100%,3156,available,0.8073394495412844,0.5593566448863493,0.1212729958458999
direct,2027,25%,789,available,0.8119266055045872,0.4829146792309,0.0852494803767907
direct,2027,50%,1578,available,0.8038990825688074,0.48432780269089093,0.10560892239769748
direct,2027,100%,3156,available,0.8165137614678899,0.5261339113936512,0.10554803269136448
pretrained,1234,25%,789,available,0.8142201834862385,0.44449729971382596,0.06108471528517612
pretrained,1234,50%,1578,available,0.8245412844036697,0.46750275995753227,0.08351411312644769
pretrained,1234,100%,3156,available,0.8279816513761468,0.5121670800064682,0.10538461393936016
pretrained,1337,25%,789,available,0.8176605504587156,0.39007987177700076,0.038389128098188646
pretrained,1337,50%,1578,available,0.8256880733944955,0.44193129883993654,0.06416812911666905
pretrained,1337,100%,3156,available,0.8222477064220184,0.5489154832625608,0.11043930744265523
pretrained,2027,25%,789,available,0.8061926605504587,0.48755953385742434,0.09656411231032325
pretrained,2027,50%,1578,available,0.8222477064220184,0.4600798793888967,0.08745231815860766
pretrained,2027,100%,3156,available,0.8291284403669725,0.5038290075752714,0.10338009834353334
