scope,score_type,task,route,seed,microbatch_count,spearman,sample_size,source
parameter,signed,sst2,direct,1234,,0.9691895447124037,1000000,pruning_u-vs-double-rank.json
layer,signed,sst2,direct,1234,,1.0,13,pruning_u-vs-double-rank.json
module,signed,sst2,direct,1234,,0.9999999999999999,5,pruning_u-vs-double-rank.json
parameter,positive,sst2,direct,1234,,0.9354140792330549,1000000,pruning_u-vs-double-rank.json
layer,positive,sst2,direct,1234,,1.0,13,pruning_u-vs-double-rank.json
module,positive,sst2,direct,1234,,0.8999999999999998,5,pruning_u-vs-double-rank.json
parameter,signed,sst2,direct,1337,,0.9647282730162478,1000000,pruning_u-vs-double-rank.json
layer,signed,sst2,direct,1337,,1.0,13,pruning_u-vs-double-rank.json
module,signed,sst2,direct,1337,,0.9999999999999999,5,pruning_u-vs-double-rank.json
parameter,positive,sst2,direct,1337,,0.9250246633635777,1000000,pruning_u-vs-double-rank.json
layer,positive,sst2,direct,1337,,0.9835164835164836,13,pruning_u-vs-double-rank.json
module,positive,sst2,direct,1337,,0.8999999999999998,5,pruning_u-vs-double-rank.json
parameter,signed,sst2,direct,2027,,0.9664409153814553,1000000,pruning_u-vs-double-rank.json
layer,signed,sst2,direct,2027,,1.0,13,pruning_u-vs-double-rank.json
module,signed,sst2,direct,2027,,0.9999999999999999,5,pruning_u-vs-double-rank.json
parameter,positive,sst2,direct,2027,,0.9313350997421431,1000000,pruning_u-vs-double-rank.json
layer,positive,sst2,direct,2027,,0.989010989010989,13,pruning_u-vs-double-rank.json
module,positive,sst2,direct,2027,,0.8999999999999998,5,pruning_u-vs-double-rank.json
parameter,signed,sst2,pretrained,1234,,0.9665606130500959,1000000,pruning_u-vs-double-rank.json
layer,signed,sst2,pretrained,1234,,1.0,13,pruning_u-vs-double-rank.json
module,signed,sst2,pretrained,1234,,0.9999999999999999,5,pruning_u-vs-double-rank.json
parameter,positive,sst2,pretrained,1234,,0.9207229252700213,1000000,pruning_u-vs-double-rank.json
layer,positive,sst2,pretrained,1234,,0.9120879120879121,13,pruning_u-vs-double-rank.json
module,positive,sst2,pretrained,1234,,0.8999999999999998,5,pruning_u-vs-double-rank.json
parameter,signed,sst2,pretrained,1337,,0.962595735585,1000000,pruning_u-vs-double-rank.json
layer,signed,sst2,pretrained,1337,,1.0,13,pruning_u-vs-double-rank.json
module,signed,sst2,pretrained,1337,,0.9999999999999999,5,pruning_u-vs-double-rank.json
parameter,positive,sst2,pretrained,1337,,0.9135011420681449,1000000,pruning_u-vs-double-rank.json
layer,positive,sst2,pretrained,1337,,0.8461538461538461,13,pruning_u-vs-double-rank.json
module,positive,sst2,pretrained,1337,,0.9999999999999999,5,pruning_u-vs-double-rank.json
parameter,signed,sst2,pretrained,2027,,0.96503022779565,1000000,pruning_u-vs-double-rank.json
layer,signed,sst2,pretrained,2027,,1.0,13,pruning_u-vs-double-rank.json
module,signed,sst2,pretrained,2027,,0.9999999999999999,5,pruning_u-vs-double-rank.json
parameter,positive,sst2,pretrained,2027,,0.9181843404246001,1000000,pruning_u-vs-double-rank.json
layer,positive,sst2,pretrained,2027,,0.901098901098901,13,pruning_u-vs-double-rank.json
module,positive,sst2,pretrained,2027,,0.9999999999999999,5,pruning_u-vs-double-rank.json
