absolute_bias,checkpoint,dominance_fraction,estimator,formula_seconds,group_count,mean_estimate_mse,microbatch_count,microbatch_size,reference_sample_count,relative_l1_bias,repetition_mse,repetition_variance,repetitions,scope,spearman,topk_overlap
2.801314372323736e-10,step-000000,0.0007125702787203043,raw,0.034024390392005444,14067712,4.806041411695491e-18,4,1,4096,2.165531320762034,8.831679105815465e-17,8.393040165473277e-17,200,parameter,0.6084637638278542,0.7961688176904289
0.00043785667954720456,step-000000,0.29859136046801144,raw,0.034024390392005444,9,3.0750899556334545e-07,4,1,4096,2.165477322606978,,,200,layer,1.0,1.0
0.0004378566795472186,step-000000,0.557787082679277,raw,0.034024390392005444,9,5.962536829461142e-07,4,1,4096,2.1654773226070616,,,200,module,0.9666666666666667,1.0
3.209192739766918e-11,step-000000,0.0017268416355397602,u_statistic,0.051904141902923584,14067712,2.2665652247419057e-19,4,1,4096,0.24808380883587058,3.0068218498359375e-17,2.999151957375397e-17,200,parameter,0.4008224385389759,0.8170478229592286
4.843709766144799e-06,step-000000,0.26329371619548064,u_statistic,0.051904141902923584,9,4.1274829127466625e-11,4,1,4096,0.02395519846065456,,,200,layer,1.0,1.0
4.843709766142584e-06,step-000000,0.5908078354694171,u_statistic,0.051904141902923584,9,1.0322763774929485e-10,4,1,4096,0.02395519846064376,,,200,module,1.0,1.0
3.645570516064012e-11,step-000000,0.0017250299106214395,double,0.06782982312142849,14067712,2.4781685234253433e-19,4,1,4096,0.2818176072125219,3.579232108910706e-17,3.572311983594425e-17,200,parameter,0.3909738964540639,0.7992538947320532
1.6393780779938033e-06,step-000000,0.26262705396536995,double,0.06782982312142849,9,4.619697574583817e-12,4,1,4096,0.00810775812474929,,,200,layer,1.0,1.0
1.5343552722298458e-06,step-000000,0.5903008239892827,double,0.06782982312142849,9,7.169463675232561e-12,4,1,4096,0.007588354139697449,,,200,module,1.0,1.0
1.3353200784387545e-10,step-000000,0.000861387813191373,raw,0.03424798417836428,14067712,8.662850921494986e-19,8,1,4096,1.0322573866291362,1.531178042355071e-17,1.4518085760202223e-17,200,parameter,0.5563964437047151,0.813212091227292
0.00020864417176308652,step-000000,0.288715390375267,raw,0.03424798417836428,9,6.971196513851026e-08,8,1,4096,1.0318769669434031,,,200,layer,1.0,1.0
0.00020864417176309443,step-000000,0.5655685308707429,raw,0.03424798417836428,9,1.3548818709425885e-07,8,1,4096,1.0318769669434489,,,200,module,0.9833333333333333,1.0
1.812423319064075e-11,step-000000,0.0016004975547308162,u_statistic,0.0517857950180769,14067712,5.93552857866331e-20,8,1,4096,0.1401077830710232,1.0946559919691063e-17,1.094191420492908e-17,200,parameter,0.42101267318963875,0.8693917706636185
7.528617222983481e-06,step-000000,0.2598981867722419,u_statistic,0.0517857950180769,9,9.489025882613397e-11,8,1,4096,0.037233758507049214,,,200,layer,1.0,1.0
7.528617222982139e-06,step-000000,0.5877786978224748,u_statistic,0.0517857950180769,9,1.987390500296736e-10,8,1,4096,0.03723375850704282,,,200,module,1.0,1.0
2.051642473477011e-11,step-000000,0.0015733849987904628,double,0.06771729234606028,14067712,6.394325645252028e-20,8,1,4096,0.1586004084088107,1.2783814909157998e-17,1.2783790605734125e-17,200,parameter,0.41169722988820584,0.854168266072967
5.419386207360408e-06,step-000000,0.25948803633646383,double,0.06771729234606028,9,5.132956593717868e-11,8,1,4096,0.026802281391764885,,,200,layer,1.0,1.0
5.41938620736287e-06,step-000000,0.5874916671147887,double,0.06771729234606028,9,1.0396485070978162e-10,8,1,4096,0.026802281391777236,,,200,module,1.0,1.0
6.54101633377518e-11,step-000000,0.00108769264365916,raw,0.034312126226723194,14067712,2.3656019851142486e-19,16,1,4096,0.5056474874919621,5.7707331763012215e-18,5.561982892251057e-18,200,parameter,0.5237688278393743,0.8370610162840887
0.00010191719119544216,step-000000,0.27996635589647917,raw,0.034312126226723194,9,1.6714006347143756e-08,16,1,4096,0.5040447631077793,,,200,layer,1.0,1.0
0.00010191719119544373,step-000000,0.5730752339248574,raw,0.034312126226723194,9,3.2326421730839005e-08,16,1,4096,0.5040447631077903,,,200,module,0.9833333333333333,1.0
1.274088271105435e-11,step-000000,0.0015766762132976469,u_statistic,0.05173266679048538,14067712,5.023434837265371e-20,16,1,4096,0.0984922679065709,4.904403398867948e-18,4.878561859794254e-18,200,parameter,0.4636296917593903,0.9129823453978327
4.34106729037986e-06,step-000000,0.26069060256337717,u_statistic,0.05173266679048538,9,2.9776267143285534e-11,16,1,4096,0.021469314532211126,,,200,layer,1.0,1.0
4.341067290384178e-06,step-000000,0.5886095253647237,u_statistic,0.05173266679048538,9,5.931007729052161e-11,16,1,4096,0.021469314532232622,,,200,module,1.0,1.0
1.3770051255059954e-11,step-000000,0.0015759005547213477,double,0.06773460935801268,14067712,4.897192070246468e-20,16,1,4096,0.10644816439004359,5.372185629843272e-18,5.349963526774668e-18,200,parameter,0.44843148571049796,0.8979450827852701
4.441786120836047e-06,step-000000,0.26058224785165185,double,0.06773460935801268,9,3.1712889449572275e-11,16,1,4096,0.02196743264596907,,,200,layer,1.0,1.0
4.441786120837797e-06,step-000000,0.5887031421450957,double,0.06773460935801268,9,6.186709168666628e-11,16,1,4096,0.021967432645977867,,,200,module,1.0,1.0
3.721573994210846e-11,step-000000,0.0013126809923269711,raw,0.034318024292588234,14067712,1.0768980195362734e-19,32,1,4096,0.2876929889276163,2.9602487769733464e-18,2.8668934422308668e-18,200,parameter,0.5240883143348332,0.8637248964295564
5.788982362997465e-05,step-000000,0.2728067196866673,raw,0.034318024292588234,9,5.3834942560793884e-09,32,1,4096,0.2863016738949004,,,200,layer,1.0,1.0
5.788982362998355e-05,step-000000,0.579000818006397,raw,0.034318024292588234,9,1.0560860924173559e-08,32,1,4096,0.2863016738949463,,,200,module,0.9833333333333333,1.0
9.294488810440162e-12,step-000000,0.0016070343710611387,u_statistic,0.05183575954288244,14067712,2.3160859093930457e-20,32,1,4096,0.07185022441013764,2.597121774255531e-18,2.5868953921222073e-18,200,parameter,0.5172489357546672,0.9430085330103244
4.246633551085055e-06,step-000000,0.2616965386168354,u_statistic,0.05183575954288244,9,3.050089532511194e-11,32,1,4096,0.021002280156617377,,,200,layer,1.0,1.0
4.246633551086248e-06,step-000000,0.5886439159570713,u_statistic,0.05183575954288244,9,7.257601180840166e-11,32,1,4096,0.021002280156623414,,,200,module,1.0,1.0
9.826712904830926e-12,step-000000,0.001607211161007079,double,0.06772421021014452,14067712,2.373798862894005e-20,32,1,4096,0.0759645357400415,2.6660333208957595e-18,2.6555731982581055e-18,200,parameter,0.5008713958460242,0.9329216106092529
4.216001102802452e-06,step-000000,0.26155186014676834,double,0.06772421021014452,9,2.998750332672189e-11,32,1,4096,0.020850783387947536,,,200,layer,1.0,1.0
4.216001102801322e-06,step-000000,0.5887814469059784,double,0.06772421021014452,9,7.297606180323315e-11,32,1,4096,0.020850783387942082,,,200,module,1.0,1.0
1.2736181658377605e-10,step-000001,0.0024663576860217305,raw,0.03407279960811138,14067712,2.1672566030970345e-18,4,1,4096,2.804474659040942,6.173082270524258e-17,5.986288050466887e-17,200,parameter,0.6411563846967576,0.7506447384508648
0.00019907134112624362,step-000001,0.2698460387293196,raw,0.03407279960811138,9,5.346355190282258e-08,4,1,4096,2.804400644762216,,,200,layer,0.5499999999999999,1.0
