checkpoint,score_variant,scope,group_count,left_microbatch_count,right_microbatch_count,spearman,topk_overlap
step-000000,signed,parameter,14067712,8,16,0.46937553527267534,0.8559126852112496
step-000000,signed,layer,9,8,16,1.0,1.0
step-000000,signed,module,9,8,16,1.0,1.0
step-000000,signed,parameter,14067712,16,32,0.5008845501819242,0.9075870148112132
step-000000,signed,layer,9,16,32,1.0,1.0
step-000000,signed,module,9,16,32,1.0,1.0
step-000000,positive,parameter,14067712,8,16,0.953843147408191,0.9528523456537378
step-000000,positive,layer,9,8,16,0.9833333333333333,1.0
step-000000,positive,module,9,8,16,1.0,1.0
step-000000,positive,parameter,14067712,16,32,0.9299466000629156,0.9566027757163208
step-000000,positive,layer,9,16,32,0.9833333333333333,1.0
step-000000,positive,module,9,16,32,0.9833333333333333,1.0
step-000001,signed,parameter,14067712,8,16,0.5076495671421909,0.7996562342725048
step-000001,signed,layer,9,8,16,0.9833333333333333,1.0
step-000001,signed,module,9,8,16,1.0,1.0
step-000001,signed,parameter,14067712,16,32,0.5512305366267342,0.8616534875587515
step-000001,signed,layer,9,16,32,1.0,1.0
step-000001,signed,module,9,16,32,1.0,1.0
step-000001,positive,parameter,14067712,8,16,0.9629325218116731,0.948011475917917
step-000001,positive,layer,9,8,16,0.9333333333333332,1.0
step-000001,positive,module,9,8,16,0.9833333333333333,0.0
step-000001,positive,parameter,14067712,16,32,0.948901891195135,0.9509686004555109
step-000001,positive,layer,9,16,32,0.9833333333333333,1.0
step-000001,positive,module,9,16,32,1.0,1.0
step-000002,signed,parameter,14067712,8,16,0.5038945892865568,0.767457697480473
step-000002,signed,layer,9,8,16,1.0,1.0
step-000002,signed,module,9,8,16,1.0,1.0
step-000002,signed,parameter,14067712,16,32,0.5605521979931968,0.8407488917891457
step-000002,signed,layer,9,16,32,1.0,1.0
step-000002,signed,module,9,16,32,1.0,1.0
step-000002,positive,parameter,14067712,8,16,0.9674355325156729,0.947230965643331
step-000002,positive,layer,9,8,16,0.9833333333333333,1.0
step-000002,positive,module,9,8,16,1.0,1.0
step-000002,positive,parameter,14067712,16,32,0.9578347015283654,0.9489753847816135
step-000002,positive,layer,9,16,32,0.9666666666666667,1.0
step-000002,positive,module,9,16,32,1.0,1.0
step-000004,signed,parameter,14067712,8,16,0.5057677547862227,0.7343137338531048
step-000004,signed,layer,9,8,16,0.9833333333333333,1.0
step-000004,signed,module,9,8,16,1.0,1.0
step-000004,signed,parameter,14067712,16,32,0.5708269379299462,0.8239842703721711
step-000004,signed,layer,9,16,32,1.0,1.0
step-000004,signed,module,9,16,32,1.0,1.0
step-000004,positive,parameter,14067712,8,16,0.9714449553948192,0.9364701600543656
step-000004,positive,layer,9,8,16,0.9333333333333332,1.0
step-000004,positive,module,9,8,16,1.0,1.0
step-000004,positive,parameter,14067712,16,32,0.9645592970519271,0.936815631815248
step-000004,positive,layer,9,16,32,0.9666666666666667,1.0
step-000004,positive,module,9,16,32,0.9833333333333333,1.0
step-000008,signed,parameter,14067712,8,16,0.5121731164358274,0.7259172061997253
step-000008,signed,layer,9,8,16,1.0,1.0
step-000008,signed,module,9,8,16,1.0,1.0
step-000008,signed,parameter,14067712,16,32,0.580348435815431,0.8025422740856372
step-000008,signed,layer,9,16,32,1.0,1.0
step-000008,signed,module,9,16,32,1.0,1.0
step-000008,positive,parameter,14067712,8,16,0.9759012618211699,0.9202344089873838
step-000008,positive,layer,9,8,16,0.9833333333333333,1.0
step-000008,positive,module,9,8,16,1.0,1.0
step-000008,positive,parameter,14067712,16,32,0.9720468968041807,0.9168934269376985
step-000008,positive,layer,9,16,32,0.9166666666666666,1.0
step-000008,positive,module,9,16,32,1.0,1.0
step-000012,signed,parameter,14067712,8,16,0.4718287037193218,0.651473017660289
step-000012,signed,layer,9,8,16,1.0,1.0
step-000012,signed,module,9,8,16,1.0,1.0
step-000012,signed,parameter,14067712,16,32,0.542459751873289,0.7381011279724078
step-000012,signed,layer,9,16,32,0.9833333333333333,1.0
step-000012,signed,module,9,16,32,1.0,1.0
step-000012,positive,parameter,14067712,8,16,0.9776277714607706,0.9099640879972021
step-000012,positive,layer,9,8,16,0.9500000000000001,1.0
step-000012,positive,module,9,8,16,0.9500000000000001,1.0
step-000012,positive,parameter,14067712,16,32,0.9729791832360547,0.9066927689774888
step-000012,positive,layer,9,16,32,0.9333333333333332,1.0
step-000012,positive,module,9,16,32,1.0,1.0
step-000016,signed,parameter,14067712,8,16,0.45536816853250517,0.6138407645304286
step-000016,signed,layer,9,8,16,0.9,1.0
step-000016,signed,module,9,8,16,1.0,1.0
step-000016,signed,parameter,14067712,16,32,0.535114285598787,0.7122817343535413
step-000016,signed,layer,9,16,32,0.8833333333333333,1.0
step-000016,signed,module,9,16,32,1.0,1.0
step-000016,positive,parameter,14067712,8,16,0.9778853905843103,0.9012263536664079
step-000016,positive,layer,9,8,16,0.9666666666666667,1.0
step-000016,positive,module,9,8,16,1.0,1.0
step-000016,positive,parameter,14067712,16,32,0.9733924568734689,0.9051843511244182
step-000016,positive,layer,9,16,32,0.9833333333333333,1.0
step-000016,positive,module,9,16,32,0.9666666666666667,1.0
step-000020,signed,parameter,14067712,8,16,0.4258633305850328,0.5938531617063746
step-000020,signed,layer,9,8,16,0.9333333333333332,1.0
step-000020,signed,module,9,8,16,1.0,1.0
step-000020,signed,parameter,14067712,16,32,0.4959763758355489,0.6704796512867757
step-000020,signed,layer,9,16,32,0.9333333333333332,1.0
step-000020,signed,module,9,16,32,1.0,1.0
step-000020,positive,parameter,14067712,8,16,0.9773912127760218,0.8921573645196237
step-000020,positive,layer,9,8,16,1.0,1.0
step-000020,positive,module,9,8,16,0.9833333333333333,1.0
step-000020,positive,parameter,14067712,16,32,0.9729224014623293,0.9036716681878798
step-000020,positive,layer,9,16,32,0.9833333333333333,1.0
step-000020,positive,module,9,16,32,0.9833333333333333,1.0
step-000026,signed,parameter,14067712,8,16,0.408954304102461,0.5543215247389058
step-000026,signed,layer,9,8,16,0.9333333333333332,1.0
step-000026,signed,module,9,8,16,1.0,1.0
step-000026,signed,parameter,14067712,16,32,0.47234422552739597,0.6266502318783712
step-000026,signed,layer,9,16,32,0.6666666666666667,1.0
step-000026,signed,module,9,16,32,1.0,1.0
step-000026,positive,parameter,14067712,8,16,0.9778196258193317,0.8941548452769887
step-000026,positive,layer,9,8,16,1.0,1.0
step-000026,positive,module,9,8,16,0.9833333333333333,1.0
step-000026,positive,parameter,14067712,16,32,0.9730115958382006,0.8995587060305437
