state_id,phase,rule,quadrature_nodes,seconds,peak_memory_bytes_for_state
step-000000,early,left,1,0.02989697828888893,851978752
step-000000,early,trapezoid,2,0.071567059494555,851978752
step-000000,early,simpson,3,0.10889053903520107,851978752
step-000000,early,gauss_legendre,16,0.3776144441217184,851978752
step-000001,early,left,1,0.03639183472841978,852896256
step-000001,early,trapezoid,2,0.06119376327842474,852896256
step-000001,early,simpson,3,0.08810428064316511,852896256
step-000001,early,gauss_legendre,16,0.46144165378063917,852896256
step-000002,early,left,1,0.03630869183689356,852896256
step-000002,early,trapezoid,2,0.06130876578390598,852896256
step-000002,early,simpson,3,0.08828596863895655,852896256
step-000002,early,gauss_legendre,16,0.4561216738075018,852896256
step-000003,early,left,1,0.04655632469803095,852896256
step-000003,early,trapezoid,2,0.07611454837024212,852896256
step-000003,early,simpson,3,0.11001672875136137,852896256
step-000003,early,gauss_legendre,16,0.606188097037375,852896256
step-000004,early,left,1,0.047006625682115555,852896256
step-000004,early,trapezoid,2,0.07636954169720411,852896256
step-000004,early,simpson,3,0.11074600089341402,852896256
step-000004,early,gauss_legendre,16,0.5904494673013687,852896256
step-000006,early,left,1,0.035715434700250626,852896256
step-000006,early,trapezoid,2,0.07634530309587717,852896256
step-000006,early,simpson,3,0.10991665069013834,852896256
step-000006,early,gauss_legendre,16,0.4695120770484209,852896256
step-000008,middle,left,1,0.03759838733822107,851978752
step-000008,middle,trapezoid,2,0.06330848764628172,851978752
step-000008,middle,simpson,3,0.0911944629624486,851978752
step-000008,middle,gauss_legendre,16,0.4756610421463847,851978752
step-000010,middle,left,1,0.03388990182429552,852896256
step-000010,middle,trapezoid,2,0.05960366688668728,852896256
step-000010,middle,simpson,3,0.08566804230213165,852896256
step-000010,middle,gauss_legendre,16,0.42614201083779335,852896256
step-000012,middle,left,1,0.03562240581959486,852896256
step-000012,middle,trapezoid,2,0.06328144483268261,852896256
step-000012,middle,simpson,3,0.09137493837624788,852896256
step-000012,middle,gauss_legendre,16,0.4649704322218895,852896256
step-000014,middle,left,1,0.04225915018469095,852896256
step-000014,middle,trapezoid,2,0.07601702958345413,852896256
step-000014,middle,simpson,3,0.11014864686876535,852896256
step-000014,middle,gauss_legendre,16,0.5028480980545282,852896256
step-000016,middle,left,1,0.03569378890097141,852896256
step-000016,middle,trapezoid,2,0.06363708432763815,852896256
step-000016,middle,simpson,3,0.0908124353736639,852896256
step-000016,middle,gauss_legendre,16,0.46441440749913454,852896256
step-000018,middle,left,1,0.03559988923370838,852896256
step-000018,middle,trapezoid,2,0.06361579615622759,852896256
step-000018,middle,simpson,3,0.09089473448693752,852896256
step-000018,middle,gauss_legendre,16,0.45646450109779835,852896256
step-000020,middle,left,1,0.03994730394333601,851978752
step-000020,middle,trapezoid,2,0.07394969277083874,851978752
step-000020,middle,simpson,3,0.11034316476434469,851978752
step-000020,middle,gauss_legendre,16,0.4690548861399293,851978752
step-000022,late,left,1,0.03985721431672573,852896256
step-000022,late,trapezoid,2,0.07372690923511982,852896256
step-000022,late,simpson,3,0.11044267099350691,852896256
step-000022,late,gauss_legendre,16,0.4627625588327646,852896256
step-000024,late,left,1,0.04212181083858013,852896256
step-000024,late,trapezoid,2,0.07617710065096617,852896256
step-000024,late,simpson,3,0.11045307107269764,852896256
step-000024,late,gauss_legendre,16,0.5880314586684108,852896256
step-000026,late,left,1,0.03472060523927212,851978752
step-000026,late,trapezoid,2,0.060934675857424736,851978752
step-000026,late,simpson,3,0.08742272946983576,851978752
step-000026,late,gauss_legendre,16,0.4380941679701209,851978752
step-000028,late,left,1,0.03445193637162447,852896256
step-000028,late,trapezoid,2,0.06111698690801859,852896256
step-000028,late,simpson,3,0.08748415019363165,852896256
step-000028,late,gauss_legendre,16,0.43826134502887726,852896256
step-000029,late,left,1,0.03547320235520601,852896256
step-000029,late,trapezoid,2,0.06314257998019457,852896256
step-000029,late,simpson,3,0.09049402363598347,852896256
step-000029,late,gauss_legendre,16,0.4539842829108238,852896256
step-000030,late,left,1,0.03543979302048683,851978752
step-000030,late,trapezoid,2,0.06300911400467157,851978752
step-000030,late,simpson,3,0.09073065500706434,851978752
step-000030,late,gauss_legendre,16,0.4612997006624937,851978752
step-000031,late,left,1,0.034525264985859394,852896256
step-000031,late,trapezoid,2,0.0608847439289093,852896256
step-000031,late,simpson,3,0.1098362673074007,852896256
step-000031,late,gauss_legendre,16,0.4398052664473653,852896256
