comparison,u_family,double_family,route,allocation,ratio,metric,u_mean_gap,double_mean_gap,required_u_gap,criterion_applicable,criterion_passed,criterion
original_gate5_semantics,u_positive,double_original,direct,global,0.0,accuracy,0.0,0.0,0.0,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,global,0.0,nll,0.0,0.0,0.0,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,global,0.0,ece,0.0,0.0,0.0,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,global,0.001,accuracy,0.3237767584097859,0.3211009174311927,0.25688073394495414,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,global,0.001,nll,0.1493557983901158,0.14403322092983703,0.11522657674386963,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,global,0.001,ece,-0.10372753118756634,-0.10924162440219858,-0.08739329952175887,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,global,0.005,accuracy,0.3237767584097859,0.32683486238532117,0.2614678899082569,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,global,0.005,nll,0.1493557983901158,0.1449155368890602,0.11593242951124816,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,global,0.005,ece,-0.10372753118756634,-0.1080698943291339,-0.08645591546330712,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,global,0.01,accuracy,0.3237767584097859,0.32186544342507645,0.25749235474006116,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,direct,global,0.01,nll,0.1493557983901158,0.14450669347875345,0.11560535478300277,True,True,u_gap>=0 and u_gap>=0.8*double_gap
