route,source_seed,source_pruning_experiment_id,method,score_source,direction,allocation,ratio,mask_index,seed,eligible_count,eligible_tensor_count,pruned_count,actual_ratio,accuracy,nll,ece,examples,baseline_accuracy,baseline_nll,baseline_ece,accuracy_drop,accuracy_change,nll_change,ece_change,base_restored,evaluation_reused,provenance_id
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,global,0.0,0,1234,123568128,49,0,0.0,0.819954128440367,0.5458835959434509,0.11188451638995184,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,0.0,0.0,True,True,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,global,0.001,0,1234,123568128,49,123568,0.000999998964134182,0.819954128440367,0.5460723042488098,0.11196866037394188,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,0.00018870830535888672,8.414398399003709e-05,True,False,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,global,0.005,0,1234,123568128,49,617840,0.0049999948206709095,0.819954128440367,0.5459942932522625,0.11192022845717503,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,0.00011069730881152484,3.5712067223192534e-05,True,False,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,global,0.01,0,1234,123568128,49,1235681,0.009999997734043522,0.819954128440367,0.546017956706362,0.11189115711271241,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,0.0001343607629110677,6.640722760575812e-06,True,False,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,global,0.02,0,1234,123568128,49,2471362,0.019999995468087044,0.819954128440367,0.5460017826579032,0.11189943602518998,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,0.00011818671445229523,1.4919635238141993e-05,True,False,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,global,0.05,0,1234,123568128,49,6178406,0.049999996762919316,0.819954128440367,0.546161320778208,0.11189319674488823,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,0.000277724834757076,8.68035493639674e-06,True,False,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,global,0.1,0,1234,123568128,49,12356812,0.09999999352583863,0.819954128440367,0.5461483027683486,0.11186377867989511,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,0.0002647068248976536,-2.073771005672853e-05,True,False,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,global,0.2,0,1234,123568128,49,24713625,0.19999999514437897,0.819954128440367,0.5460239095151971,0.11197553799751142,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,0.00014031357174615344,9.102160755958266e-05,True,False,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,global,0.3,0,1234,123568128,49,37070438,0.29999999676291933,0.819954128440367,0.5458701783363972,0.11205621203456545,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,-1.3417607053756164e-05,0.00017169564461361198,True,False,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,layer_balanced,0.0,0,1234,123568128,49,0,0.0,0.819954128440367,0.5458835959434509,0.11188451638995184,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,0.0,0.0,True,True,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,layer_balanced,0.001,0,1234,123568128,49,123557,0.0009999099444154402,0.819954128440367,0.545952451065046,0.1100350323054331,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,6.885512159504614e-05,-0.0018494840845187377,True,False,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,layer_balanced,0.005,0,1234,123568128,49,617835,0.004999954357162391,0.8188073394495413,0.5458353280747702,0.11365788024817097,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0011467889908256534,-0.0011467889908256534,-4.826786868072919e-05,0.0017733638582191347,True,False,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,layer_balanced,0.01,0,1234,123568128,49,1235670,0.009999908714324782,0.8153669724770642,0.5449061922797369,0.11321870625068997,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.004587155963302725,-0.004587155963302725,-0.000977403663714016,0.001334189860738133,True,False,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
direct,1234,stage-b-sst2-direct-pruning-seed1234,double_near_zero,double,near_zero,layer_balanced,0.02,0,1234,123568128,49,2471353,0.019999922633771712,0.819954128440367,0.5421893308195499,0.11012053595511673,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,-0.0036942651239010305,-0.0017639804348351107,True,False,fb3e818056fa36e82ec37ddba306e9d924d2676d054e28e37fe444bbe3b35bfa
