intervention,score,model_state,allocation,requested_ratio,requested_count,eligible_count,eligible_tensor_count,pruned_count,actual_ratio,seed,accuracy,nll,ece,examples,baseline_accuracy,baseline_nll,baseline_ece,accuracy_drop,nll_change,ece_change,provenance_id
pretrain_high,u_positive,unfinetuned,global,0.001,123568,123568128,49,123568,0.000999998964134182,1337,0.5091743119266054,0.9900080014806275,0.3238437873119281,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,-0.018348623853210955,-0.12303077244977334,-0.05054763736069995,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_high,u_positive,finetuned,global,0.001,123568,123568128,49,123568,0.000999998964134182,1337,0.5596330275229358,1.7867476535499642,0.3814651341700446,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.26261467889908263,1.2378321702874033,0.27102582672738934,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
finetune_high,u_positive,finetuned,global,0.001,123568,123568128,49,123568,0.000999998964134182,1337,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.3314220183486239,0.14423169920203882,-0.1012649903211495,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
topk_intersection,u_positive,finetuned,global,0.001,123568,123568128,49,2165,1.752069918870989e-05,1337,0.5561926605504587,1.7917242072044162,0.38325593953363457,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.2660550458715597,1.2428087239418555,0.27281663209097934,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_only,u_positive,finetuned,global,0.001,123568,123568128,49,121403,0.000982478264945472,1337,0.823394495412844,0.5501669336349593,0.10942817219921686,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,-0.0011467889908256534,0.0012514503723984882,-0.001011135243438377,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_high,u_positive,unfinetuned,global,0.005,617840,123568128,49,617840,0.0049999948206709095,1337,0.5091743119266054,1.4344321697130116,0.4344420813159455,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,-0.018348623853210955,0.3213933957826107,0.06005065664331749,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_high,u_positive,finetuned,global,0.005,617840,123568128,49,617840,0.0049999948206709095,1337,0.5091743119266054,2.1391777773515894,0.4732705665815805,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.31307339449541294,1.5902622940890287,0.3628312591389253,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
finetune_high,u_positive,finetuned,global,0.005,617840,123568128,49,617840,0.0049999948206709095,1337,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.3314220183486239,0.14423169920203882,-0.1012649903211495,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
topk_intersection,u_positive,finetuned,global,0.005,617840,123568128,49,67569,0.0005468157614235283,1337,0.5091743119266054,2.2029400528024095,0.4766257417258318,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.31307339449541294,1.6540245695398488,0.36618643428317654,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_only,u_positive,finetuned,global,0.005,617840,123568128,49,550271,0.004453179059247381,1337,0.8188073394495413,0.5855011453322314,0.11825468836584507,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.0034403669724770714,0.03658566206967062,0.00781538092318984,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_high,u_positive,unfinetuned,global,0.01,1235681,123568128,49,1235681,0.009999997734043522,1337,0.5091743119266054,0.7313437368891654,0.14439341714839482,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,-0.018348623853210955,-0.3816950370412354,-0.22999800752423322,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_high,u_positive,finetuned,global,0.01,1235681,123568128,49,1235681,0.009999997734043522,1337,0.5091743119266054,1.849577969367351,0.46940865767457524,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.31307339449541294,1.3006624861047902,0.35896935023192,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
finetune_high,u_positive,finetuned,global,0.01,1235681,123568128,49,1235681,0.009999997734043522,1337,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.3314220183486239,0.14423169920203882,-0.1012649903211495,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
topk_intersection,u_positive,finetuned,global,0.01,1235681,123568128,49,181248,0.0014667859984089102,1337,0.5091743119266054,1.9222663651912584,0.4734511717234684,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.31307339449541294,1.3733508819286975,0.36301186428081317,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_only,u_positive,finetuned,global,0.01,1235681,123568128,49,1054433,0.008533211735634613,1337,0.8222477064220184,0.5943603015274083,0.11894810894052155,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.0,0.045444818264847475,0.008508801497866314,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_high,u_positive,unfinetuned,global,0.05,6178406,123568128,49,6178406,0.049999996762919316,1337,0.5229357798165137,0.6915167832593305,0.01017296314239502,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,-0.03211009174311924,-0.4215219906710703,-0.364218461530233,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_high,u_positive,finetuned,global,0.05,6178406,123568128,49,6178406,0.049999996762919316,1337,0.5091743119266054,0.6785594148373385,0.2371244160037822,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.31307339449541294,0.12964393157477772,0.12668510856112697,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
finetune_high,u_positive,finetuned,global,0.05,6178406,123568128,49,6178406,0.049999996762919316,1337,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.3314220183486239,0.14423169920203882,-0.1012649903211495,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
topk_intersection,u_positive,finetuned,global,0.05,6178406,123568128,49,1908341,0.015443634462116315,1337,0.5091743119266054,0.6764703901535875,0.2905018259325267,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.31307339449541294,0.12755490689102666,0.18006251848987148,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_only,u_positive,finetuned,global,0.05,6178406,123568128,49,4270065,0.034556362300803,1337,0.8188073394495413,0.6125785342050255,0.12707898626855685,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.0034403669724770714,0.06366305094246472,0.016639678825901616,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_high,u_positive,unfinetuned,global,0.1,12356812,123568128,49,12356812,0.09999999352583863,1337,0.4873853211009174,0.6932384989677219,0.018465101718902588,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,0.0034403669724770714,-0.4198002749626789,-0.35592632295372545,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
pretrain_high,u_positive,finetuned,global,0.1,12356812,123568128,49,12356812,0.09999999352583863,1337,0.6731651376146789,0.691131502116492,0.17118138074874878,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.1490825688073395,0.1422160188539312,0.06074207330609355,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
finetune_high,u_positive,finetuned,global,0.1,12356812,123568128,49,12356812,0.09999999352583863,1337,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.3314220183486239,0.14423169920203882,-0.1012649903211495,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
topk_intersection,u_positive,finetuned,global,0.1,12356812,123568128,49,5246815,0.04246090868998193,1337,0.7201834862385321,0.6909702119477298,0.21835851669311523,872.0,0.8222477064220184,0.5489154832625608,0.11043930744265523,0.10206422018348627,0.142054728685169,0.10791920925046,059606e5fe9ba2221515e5c9acf7eba147dfaaf4a4e8aeb6a856c02c7b7a0491
