batch_size,cell_id,mae,method,mse,pearson,source_batch_artifact_hash,source_method_artifact_hash,source_ref,successful_repetitions,model,stage,model_label,stage_label,cell_label,method_label,signed_bias_mean,between_repetition_variance_mean,mean_negative_fraction,mean_absolute_importance,coordinate_count,resolved_batch_summary_ref,mse_rank_key,mse_rank_within_cell_batch,raw_mse,mse_ratio_to_raw,log10_mse_ratio_to_raw,mse_ratio_to_cell_best,log10_mse
32,pythia-14m:initialization,5.479308915432505e-08,double,1.434836826757963e-12,0.9868241483268086,44ecf8f669b56e87d05d1d1abe6e3a7946c64f1092d1bf878634746d30667bbd,b6ed3b798fc0746798501213c239cf36973669f8f3308f488bc2f718f9733763,results/stage2/direct-unvalidated/pythia-grid-20260826T145530Z/pythia-14m__initialization/batch-summaries.jsonl,64,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,Double,7.470444330702078e-10,3.4228393399685117e-12,0.16098865259681178,2.484664553250589e-07,14067712,pythia-14m__initialization/batch-summaries.jsonl,-11.843197485179,3.5,1.3996618545092367e-12,1.0251310501428643,0.010779388041383392,1.0251310501428643,-11.843197485179427
32,pythia-14m:initialization,5.877786873558768e-08,raw,1.3996618545092367e-12,0.9869776912530103,44ecf8f669b56e87d05d1d1abe6e3a7946c64f1092d1bf878634746d30667bbd,1214f2cf2be4d571c0461755094508184ccf76bd52bf6425d08290fa1118949b,results/stage2/direct-unvalidated/pythia-grid-20260826T145530Z/pythia-14m__initialization/batch-summaries.jsonl,64,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,Raw,1.6214297374547233e-08,3.4720946641761323e-12,0.0,2.636591437245019e-07,14067712,pythia-14m__initialization/batch-summaries.jsonl,-11.853976873221,1.0,1.3996618545092367e-12,1.0,0.0,1.0,-11.85397687322081
32,pythia-14m:initialization,5.4808006434053145e-08,u_m16,1.4429698020022122e-12,0.9867491523804397,44ecf8f669b56e87d05d1d1abe6e3a7946c64f1092d1bf878634746d30667bbd,321b1cb245ba329138cf5ec94cb752dcc5bfe8705765ae12f084f67dfca39993,results/stage2/direct-unvalidated/pythia-grid-20260826T145530Z/pythia-14m__initialization/batch-summaries.jsonl,64,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,U-16,1.2595793389304638e-09,3.3232954016748662e-12,0.17362887440402533,2.488511053063268e-07,14067712,pythia-14m__initialization/batch-summaries.jsonl,-11.840742757584,7.0,1.3996618545092367e-12,1.0309417216404462,0.013234115637219847,1.0309417216404462,-11.840742757583591
32,pythia-14m:initialization,5.479308915432505e-08,u_m2,1.434836826757963e-12,0.9868241483268086,44ecf8f669b56e87d05d1d1abe6e3a7946c64f1092d1bf878634746d30667bbd,6e9ba6239ca9bdc45e8b2d422cb43d87dc83bdc8b101b28babf5803ddb9dbc9e,results/stage2/direct-unvalidated/pythia-grid-20260826T145530Z/pythia-14m__initialization/batch-summaries.jsonl,64,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,U-2,7.470444330702086e-10,3.4228393399685117e-12,0.16098865259681178,2.4846645532505896e-07,14067712,pythia-14m__initialization/batch-summaries.jsonl,-11.843197485179,3.5,1.3996618545092367e-12,1.0251310501428643,0.010779388041383392,1.0251310501428643,-11.843197485179427
32,pythia-14m:initialization,5.4812293040193585e-08,u_m32,1.4420429708045257e-12,0.9867563813553205,44ecf8f669b56e87d05d1d1abe6e3a7946c64f1092d1bf878634746d30667bbd,f3619c0801663eee2bf6f15293f4f7a250ffaa08f92940bb15758ccf99f30c7a,results/stage2/direct-unvalidated/pythia-grid-20260826T145530Z/pythia-14m__initialization/batch-summaries.jsonl,64,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,U-32,1.2898598039491845e-09,3.3281450669802853e-12,0.17473125693787306,2.48877027335013e-07,14067712,pythia-14m__initialization/batch-summaries.jsonl,-11.841021798073,6.0,1.3996618545092367e-12,1.030279539417861,0.012955075147380401,1.030279539417861,-11.841021798073431
32,pythia-14m:initialization,5.477211137855907e-08,u_m4,1.4293337338571342e-12,0.9868654579045141,44ecf8f669b56e87d05d1d1abe6e3a7946c64f1092d1bf878634746d30667bbd,aed721d60065cb335deea7a42256c687f3a714dc44045ae22fc91ee0983a6d3a,results/stage2/direct-unvalidated/pythia-grid-20260826T145530Z/pythia-14m__initialization/batch-summaries.jsonl,64,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,U-4,1.1173143206531513e-09,3.358096194490549e-12,0.16920583816330617,2.487530947874617e-07,14067712,pythia-14m__initialization/batch-summaries.jsonl,-11.844866356338,2.0,1.3996618545092367e-12,1.0211993198587963,0.009110516882633733,1.0211993198587963,-11.844866356338176
32,pythia-14m:initialization,5.480110728098783e-08,u_m8,1.4378462497128266e-12,0.9867913401254224,44ecf8f669b56e87d05d1d1abe6e3a7946c64f1092d1bf878634746d30667bbd,fb2fc62335ece1db99c3f33d31ea844ded55d497a87cc76e05baa2f0c42e5e70,results/stage2/direct-unvalidated/pythia-grid-20260826T145530Z/pythia-14m__initialization/batch-summaries.jsonl,64,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,U-8,1.2191316761137338e-09,3.3385183289625704e-12,0.17224791067659048,2.4882513078342353e-07,14067712,pythia-14m__initialization/batch-summaries.jsonl,-11.842287550998,5.0,1.3996618545092367e-12,1.027281157288507,0.01168932222231417,1.027281157288507,-11.842287550998497
64,pythia-14m:initialization,5.5733977948361584e-08,double,1.7071130785893018e-12,0.9851944459787292,e9754c1ed097643183d5fc8eabc8bf9fd133443d2d43ea937141864d65275fd7,64c8eea761758b60548af297f0ac0fab83bd6117587618f80ce071b729e18f2b,results/stage2/direct-unvalidated/pythia-grid-20260826T145530Z/pythia-14m__initialization/batch-summaries.jsonl,64,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,Double,-4.8216120643465565e-09,1.3479343134871748e-12,0.18779926686016887,2.427371253987995e-07,14067712,pythia-14m__initialization/batch-summaries.jsonl,-11.767737710414,6.5,1.6458717943565239e-12,1.0372090246899948,0.015866286882518708,1.2196610724865875,-11.767737710413781
64,pythia-14m:initialization,5.701871267250032e-08,raw,1.6458717943565239e-12,0.9854599557888718,e9754c1ed097643183d5fc8eabc8bf9fd133443d2d43ea937141864d65275fd7,22e788c22409df3a4fad75390892619b8cba8434b0342cf044bff4634af44145,results/stage2/direct-unvalidated/pythia-grid-20260826T145530Z/pythia-14m__initialization/batch-summaries.jsonl,64,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,Raw,2.9825448608871484e-09,1.3578439402637193e-12,0.0,2.5042739121084176e-07,14067712,pythia-14m__initialization/batch-summaries.jsonl,-11.783603997296,1.0,1.6458717943565239e-12,1.0,0.0,1.1759067299391508,-11.7836039972963
64,pythia-14m:initialization,5.5696476176764835e-08,u_m16,1.6975154370883e-12,0.985276005223998,e9754c1ed097643183d5fc8eabc8bf9fd133443d2d43ea937141864d65275fd7,07658de928c4f81a9c4291bf5d7be5bcd8355969b0a4c8c5769cdbd9748f748e,results/stage2/direct-unvalidated/pythia-grid-20260826T145530Z/pythia-14m__initialization/batch-summaries.jsonl,64,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,U-16,-4.736937212147005e-09,1.3272742010085588e-12,0.20164153204159993,2.4277562562766324e-07,14067712,pythia-14m__initialization/batch-summaries.jsonl,-11.770186267585,4.0,1.6458717943565239e-12,1.0313776825806573,0.013417729710861222,1.2128039580556402,-11.770186267585439
