model,method,mean_mse_rank,geometric_mean_mse_ratio_to_raw,median_pearson
pythia-14m,double,4.25,0.8944391369192427,0.9423926456460423
pythia-14m,raw,5.0,1.0,0.9423177654355759
pythia-14m,u_m16,3.4166666666666665,0.891999440630472,0.942386982747503
pythia-14m,u_m2,4.25,0.8944391369192427,0.9423926456460424
pythia-14m,u_m32,3.1666666666666665,0.8921912159744232,0.9423887147274339
pythia-14m,u_m4,3.9166666666666665,0.8922358544906039,0.9423926837898545
pythia-14m,u_m8,4.0,0.8924747921611481,0.9423714588868572
pythia-31m-deduped,double,4.666666666666667,0.9605133824170072,0.8441353981450812
pythia-31m-deduped,raw,5.0,1.0,0.8458494834913466
pythia-31m-deduped,u_m16,3.25,0.9576256885775757,0.8439261473891231
pythia-31m-deduped,u_m2,4.666666666666667,0.9605133824170072,0.8441353981450812
pythia-31m-deduped,u_m32,3.0,0.957190499314199,0.8439239587465241
pythia-31m-deduped,u_m4,4.583333333333333,0.9594522789357427,0.8439997579234798
pythia-31m-deduped,u_m8,2.8333333333333335,0.9572019145833558,0.8440136795995112
