batch_size,cell_id,formula_seconds_mean,formula_seconds_total,gradient_seconds_mean,gradient_seconds_total,peak_memory_bytes_max,repetition_count,wall_seconds_mean,wall_seconds_total,model,stage,model_label,stage_label,cell_label,peak_memory_gib,formula_share
32,pythia-14m:early,1.7511950963389609,112.0764861656935,6.666102210561803,426.6305414759554,12759073792,64,8.417297306900764,538.7070276416489,pythia-14m,early,Pythia-14M,早期,Pythia-14M · 早期,11.882813453674316,0.20804719525628212
64,pythia-14m:early,2.7400713678298416,175.36456754110986,7.471833332507231,478.1973332804628,12955714560,64,10.211904700337072,653.5619008215726,pythia-14m,early,Pythia-14M,早期,Pythia-14M · 早期,12.065949440002441,0.2683212826828866
128,pythia-14m:early,2.9015943151098327,185.7020361670293,9.769589517690292,625.2537291321787,12955714560,64,12.671183832800125,810.955765299208,pythia-14m,early,Pythia-14M,早期,Pythia-14M · 早期,12.065949440002441,0.22899157279992108
256,pythia-14m:early,1.4632559556066553,93.64838115882594,8.183303421201344,523.731418956886,12955714560,64,9.646559376808,617.379800115712,pythia-14m,early,Pythia-14M,早期,Pythia-14M · 早期,12.065949440002441,0.1516868241255609
32,pythia-14m:initialization,1.2276751953404528,78.57121250178898,3.832300419389867,245.26722684095148,12759073792,64,5.05997561473032,323.83843934274046,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,11.882813453674316,0.24262472565411441
64,pythia-14m:initialization,2.837900316138075,181.6256202328368,6.382726240733064,408.49447940691607,12955714560,64,9.220626556871139,590.1200996397529,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,12.065949440002441,0.30777738352534123
128,pythia-14m:initialization,2.866149946222322,183.4335965582286,7.955964299359039,509.1817151589785,12955714560,64,10.82211424558136,692.6153117172071,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,12.065949440002441,0.26484195982245917
256,pythia-14m:initialization,2.8989436455767645,185.53239331691293,11.248711840420583,719.9175577869173,12955714560,64,14.147655485997348,905.4499511038302,pythia-14m,initialization,Pythia-14M,初始化,Pythia-14M · 初始化,12.065949440002441,0.20490629337461574
32,pythia-14m:mid_late,0.8848790860274676,56.632261505757924,2.943425232633672,188.379214888555,12759073792,64,3.8283043186611394,245.01147639431292,pythia-14m,mid_late,Pythia-14M,中后期,Pythia-14M · 中后期,11.882813453674316,0.23114126056126424
64,pythia-14m:mid_late,0.88982072374165,56.9485263194656,3.2490918202947796,207.9418764988659,12955714560,64,4.13891254403643,264.8904028183315,pythia-14m,mid_late,Pythia-14M,中后期,Pythia-14M · 中后期,12.065949440002441,0.21498901324304426
128,pythia-14m:mid_late,0.8758728751445233,56.05586400924949,4.040459073106831,258.5893806788372,12955714560,64,4.916331948251354,314.6452446880867,pythia-14m,mid_late,Pythia-14M,中后期,Pythia-14M · 中后期,12.065949440002441,0.17815576416805107
256,pythia-14m:mid_late,0.8733479524707946,55.89426895813085,6.152572987357416,393.76467119087465,12955714560,64,7.025920939828211,449.6589401490055,pythia-14m,mid_late,Pythia-14M,中后期,Pythia-14M · 中后期,12.065949440002441,0.12430369768609274
32,pythia-31m-deduped:early,0.9668908670555538,61.881015491555445,6.806838264002181,435.6376488961396,27542815744,64,7.773729131057735,497.518664387695,pythia-31m-deduped,early,Pythia-31M,早期,Pythia-31M · 早期,25.651246070861816,0.12437928447913306
64,pythia-31m-deduped:early,0.9752094708919685,62.413406137085985,7.393364889281656,473.175352914026,28043969536,64,8.368574360173625,535.588759051112,pythia-31m-deduped,early,Pythia-31M,早期,Pythia-31M · 早期,26.117981910705566,0.11653233022974963
128,pythia-31m-deduped:early,0.9537103091506651,61.03745978564257,8.526879606220973,545.7202947981423,28043969536,64,9.480589915371638,606.7577545837848,pythia-31m-deduped,early,Pythia-31M,早期,Pythia-31M · 早期,26.117981910705566,0.10059609345662535
256,pythia-31m-deduped:early,0.950906316506007,60.85800425638445,11.752319987987903,752.1484792312258,28045149184,64,12.70322630449391,813.0064834876102,pythia-31m-deduped,early,Pythia-31M,早期,Pythia-31M · 早期,26.119080543518066,0.0748554968409571
32,pythia-31m-deduped:initialization,0.9118700570043075,58.35968364827568,6.819838626153796,436.46967207384296,27542815744,64,7.731708683158104,494.82935572211863,pythia-31m-deduped,initialization,Pythia-31M,初始化,Pythia-31M · 初始化,25.651246070861816,0.11793900861663659
64,pythia-31m-deduped:initialization,0.9132161438756157,58.4458332080394,7.304932575156272,467.5156848100014,28043969536,64,8.218148719031888,525.9615180180408,pythia-31m-deduped,initialization,Pythia-31M,初始化,Pythia-31M · 初始化,26.117981910705566,0.11112188098528279
128,pythia-31m-deduped:initialization,0.9039846395644417,57.85501693212427,8.4036806523427,537.8355617499328,28043969536,64,9.307665291907142,595.6905786820571,pythia-31m-deduped,initialization,Pythia-31M,初始化,Pythia-31M · 初始化,26.117981910705566,0.09712259854793459
256,pythia-31m-deduped:initialization,0.9012458632050766,57.6797352451249,11.700378290356639,748.8242105828249,28045149184,64,12.601624153561716,806.5039458279498,pythia-31m-deduped,initialization,Pythia-31M,初始化,Pythia-31M · 初始化,26.119080543518066,0.07151823068380825
