stage,method,mean_mse_rank,geometric_mean_mse_ratio_to_raw,median_pearson
initialization,double,4.75,0.9780144181675575,0.9904158794545286
initialization,raw,4.0,1.0,0.9904748007685773
initialization,u_m16,3.625,0.9775916227084526,0.9904417238862814
initialization,u_m2,4.75,0.9780144181675575,0.9904158794545286
initialization,u_m32,3.375,0.9775007324270112,0.9904499813994596
initialization,u_m4,4.25,0.976615042777042,0.9904076709010484
initialization,u_m8,3.25,0.9767876978425825,0.9904360189669399
mid_late,double,4.0,0.8903237218399205,0.8239213098075151
mid_late,raw,4.0,1.0,0.821623995526502
mid_late,u_m16,3.625,0.8849628789636192,0.8273507871150625
mid_late,u_m2,4.0,0.8903237218399205,0.823921309807515
mid_late,u_m32,3.625,0.8847559461716467,0.8268549314068036
mid_late,u_m4,4.5,0.8873663655885217,0.8269746013425836
mid_late,u_m8,4.25,0.8859632507527857,0.8271499560235972
early,double,4.625,0.9145092838890445,0.8837967621906313
early,raw,7.0,1.0,0.882650069684974
early,u_m16,2.75,0.9125528571833484,0.884394620066626
early,u_m2,4.625,0.9145092838890445,0.8837967621906313
early,u_m32,2.25,0.9125231733474316,0.8844115862217243
early,u_m4,4.0,0.9139621326999272,0.8839564182316371
early,u_m8,2.75,0.912396028588703,0.884423755451686
